Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Nick Ricci,L,19,17,7,12,0,,553,474,79,0.857,4.39,1079:54,0,0,0,0,2
Mike Moffat,L,18,15,7,6,2,,384,317,67,0.826,4.38,918:25,0,0,0,0,2
Alfie Moore,R,21,21,7,14,0,,,,81,--,3.8,1280:00,1,0,0,0,0
Sebastien Charpentier,L,26,20,6,14,1,,672,606,66,0.902,2.93,1350:04,0,0,0,0,0
Harri Sateri,L,15,11,6,6,,1,428,383,45,0.895,3.41,790:58,0,0,0,0,0
Tyler Moss,R,30,21,6,16,1,,746,665,81,0.891,3.25,1496:55,0,0,1,1,0
Jim McLeod,L,16,15,6,6,4,,399,355,44,0.89,3.01,878:11,0,0,1,1,0
Reinhard Divis,L,28,16,6,9,2,1,560,493,67,0.88,3.32,1212:03,0,0,0,0,2
Scott Bailey,L,19,13,6,6,2,,445,390,55,0.876,3.42,964:43,0,0,0,0,0
Larry Lozinski,L,30,22,6,11,7,,734,630,104,0.858,4.29,1454:17,0,0,1,1,0
Bert Lindsay,R,20,20,6,14,0,,,,118,--,5.82,1217:30,0,0,0,0,0
Nolan Schaefer,R,7,5,5,1,,0,138,127,11,0.92,1.87,352:12,1,0,0,0,2
Henrik Karlsson,L,26,18,5,9,,8,630,570,60,0.905,2.79,1291:43,0,0,0,0,0
Rob Zepp,L,10,9,5,2,,0,223,198,25,0.888,2.89,519:01,0,0,0,0,0
David Leneveu,L,22,15,5,9,,2,540,479,61,0.887,3.43,1067:09,0,0,0,0,0
Gary Bauman,L,35,25,5,17,6,,878,776,102,0.884,3.57,1713:58,0,0,0,0,2
Jared Coreau,L,21,21,5,9,,4,565,497,68,0.88,3.74,1092:06,2,0,0,0,0
Chris Worthy,L,26,19,5,11,3,,761,663,98,0.871,4.49,1309:26,0,0,0,0,6
Goran Hogosta,L,22,19,5,12,3,,640,557,83,0.87,4.15,1201:13,1,0,0,0,0
Michael Houser,L,6,6,4,2,,0,218,200,18,0.917,2.97,363:02,0,0,0,0,0
Jet Greaves,L,14,13,4,8,,2,503,456,47,0.907,3.45,816:27,0,0,0,0,0
Oscar Dansk,L,6,5,4,1,,0,159,144,15,0.906,3.1,290:01,1,0,0,0,0
Matt Hackett,L,26,20,4,17,,2,709,642,67,0.906,3.11,1291:07,0,0,0,0,0
Christopher Gibson,L,16,12,4,5,,3,434,391,43,0.901,3.33,773:52,0,0,0,0,0
Marcel Cousineau,L,26,13,4,10,1,,509,458,51,0.9,2.93,1045:45,1,0,1,1,0
Frederic Chabot,R,32,16,4,8,4,,583,521,62,0.894,2.95,1262:29,0,0,0,0,2
Scott Fankhouser,L,23,16,4,12,2,,611,546,65,0.894,3.31,1179:26,0,0,0,0,6
Adam Munro,L,17,17,4,10,1,2,451,400,51,0.887,3.3,926:23,1,0,1,1,2
Felix Sandstrom,L,30,26,4,18,,4,848,746,102,0.88,3.66,1673:35,0,0,0,0,0
Bruce Hoffort,L,9,4,4,0,3,,179,157,22,0.877,3.59,367:58,0,0,0,0,2
Cam Newton,L,16,12,4,7,1,,410,359,51,0.876,3.77,810:38,0,0,1,1,6
Joaquin Gage,L,23,14,4,12,1,,515,448,67,0.87,3.74,1076:17,0,0,1,1,4
Aleksei Kolosov,L,13,10,4,7,,1,314,273,41,0.869,3.49,705:13,0,0,0,0,0
Darrin Madeley,L,39,32,4,23,5,,1059,919,140,0.868,4.36,1928:21,0,0,0,0,0
Ivan Fedotov,L,13,11,4,5,,2,313,271,42,0.866,3.75,672:06,0,0,0,0,0
Lyle Carter,L,15,13,4,7,0,,361,311,50,0.861,4.16,720:39,0,0,0,0,2
Jarmo Myllys,L,39,30,4,27,1,,1139,978,161,0.859,5.23,1845:59,0,0,1,1,4
Gordon Laxton,L,17,13,4,9,1,,435,361,74,0.83,5.56,799:03,0,0,0,0,0
Mike Brodeur,L,7,4,3,1,,0,129,119,10,0.922,2.17,276:42,1,0,0,0,0
Robbie Moore,L,6,3,3,1,1,,103,95,8,0.922,1.87,257:01,2,0,1,1,0
Allen York,L,11,5,3,2,,0,199,183,16,0.92,2.3,416:42,0,0,0,0,0
Joel Blomqvist,L,8,7,3,5,,0,261,236,25,0.904,3.6,416:13,0,0,0,0,0
Andre Gill,L,5,5,3,1,0,,134,121,13,0.903,2.89,270:21,1,0,0,0,0
Jiri Patera,L,8,7,3,3,,1,266,240,26,0.902,3.57,436:46,0,0,0,0,0
Leland Irving,L,13,12,3,4,,4,367,331,36,0.902,3.25,664:29,0,0,1,1,0
Josef Korenar,L,12,7,3,5,,0,293,264,29,0.901,3.1,562:08,0,0,0,0,0
Jeff Glass,L,15,13,3,7,,3,452,406,46,0.898,3.36,820:54,0,0,0,0,2
Mike Torchia,L,6,4,3,2,1,,172,154,18,0.895,3.3,326:55,0,0,0,0,0
Norm Defelice,L,10,10,3,5,2,,282,252,30,0.894,3.0,600:00,0,0,0,0,2
Frederic Cassivi,L,13,9,3,6,0,1,353,315,38,0.892,3.64,627:11,0,0,0,0,0
Andy Chiodo,L,8,8,3,4,1,,260,232,28,0.892,3.46,485:37,0,0,0,0,0
Matt Tomkins,L,6,6,3,2,,1,185,165,20,0.892,3.33,360:13,0,0,0,0,0
Jean-Francois Labbe,L,15,8,3,6,0,,323,287,36,0.889,3.44,628:16,0,0,0,0,2
Vitaly Kolesnik,L,8,7,3,3,,0,178,158,20,0.888,3.24,370:12,0,0,1,1,2
John Curry,L,8,5,3,2,,1,165,145,20,0.879,3.68,325:43,0,0,0,0,0
Derek Wilkinson,L,22,16,3,12,3,,453,396,57,0.874,3.67,932:31,0,0,0,0,2
Brad Thiessen,L,5,4,3,1,,0,113,97,16,0.858,3.72,257:44,0,0,0,0,2
Scott Langkow,L,20,15,3,12,1,,474,406,68,0.857,4.32,943:29,0,0,0,0,0
Don McLeod,L,18,13,3,10,1,,515,441,74,0.856,5.06,877:28,0,0,0,0,0
Lindsay Middlebrook,R,37,29,3,23,6,,1052,900,152,0.856,4.95,1840:37,0,0,1,1,22
Bruce Bullock,R,16,15,3,9,3,,507,433,74,0.854,4.79,926:25,0,0,0,0,2
Cleon Daskalakis,L,12,7,3,4,1,,255,214,41,0.839,4.86,506:04,0,0,0,0,0
Brian Ford,L,11,8,3,7,0,,367,306,61,0.834,6.32,579:00,0,0,0,0,0
Terrance Richardson,R,20,14,3,11,0,,467,382,85,0.818,5.64,904:10,0,0,1,1,6
Gordie Bell,L,8,8,3,5,0,,,,31,--,3.88,480:00,0,0,0,0,0
Frank Brophy,L,21,21,3,18,0,,,,148,--,7.11,1249:05,0,0,0,0,0
Moe Roberts,R,10,8,3,5,0,,,,31,--,3.71,501:00,0,0,0,0,0
Mackenzie Skapski,L,2,2,2,0,,0,45,44,1,0.978,0.5,119:05,1,0,0,0,0
Daniel Lacosta,L,4,2,2,0,,0,85,81,4,0.953,1.42,168:50,1,0,0,0,0
Troy Grosenick,L,4,4,2,2,,0,135,126,9,0.933,2.27,238:22,1,0,0,0,0
Cedrick Desjardins,R,6,4,2,4,,0,149,137,12,0.919,2.41,298:27,0,0,0,0,2
Yaroslav Askarov,R,8,7,2,3,,2,223,204,19,0.915,2.61,437:30,0,0,1,1,0
Gerry McNamara,L,7,5,2,2,1,,159,145,14,0.912,2.61,321:18,0,0,0,0,2
Antoine Bibeau,L,4,3,2,1,,0,97,88,9,0.907,2.54,212:24,0,0,0,0,0
Maxime Ouellet,L,12,10,2,6,1,1,350,316,34,0.903,3.08,662:12,1,0,1,1,2
Marc D'amour,L,16,8,2,4,2,,323,291,32,0.901,3.32,578:41,0,0,0,0,10
Matiss Kivlenieks,L,8,6,2,2,,2,208,187,21,0.899,3.09,408:11,0,0,0,0,0
Hunter Shepard,L,4,4,2,1,,1,123,110,13,0.894,3.19,244:50,0,0,0,0,0
Rocky Farr,R,19,9,2,6,3,,397,355,42,0.894,3.5,719:51,0,0,0,0,2
Matt Climie,L,5,4,2,2,,0,139,124,15,0.892,3.24,277:26,0,0,0,0,0
Leevi Meriläinen,L,5,4,2,2,,1,119,106,13,0.891,3.23,241:37,0,0,0,0,0
Matt Delguidice,R,11,9,2,5,1,,246,218,28,0.886,3.87,434:26,0,0,0,0,2
Jack McCartan,L,12,11,2,7,3,,368,326,42,0.886,3.71,680:00,1,0,0,0,0
Matt Murray,L,4,4,2,2,,0,87,77,10,0.885,2.53,237:02,1,0,0,0,0
John Tanner,L,21,18,2,11,5,,557,492,65,0.883,3.6,1083:52,1,0,0,0,6
Adam Berkhoel,L,9,7,2,4,,1,255,225,30,0.882,3.8,473:24,0,0,0,0,0
Edward Pasquale,L,3,3,2,1,,0,102,90,12,0.882,3.96,181:58,0,0,0,0,0
Mike Fountain,L,11,7,2,6,0,,234,206,28,0.88,3.49,481:41,1,0,0,0,2
Marc Lamothe,L,4,3,2,1,1,,108,95,13,0.88,3.24,240:45,0,0,0,0,0
Barry Brust,L,11,7,2,4,,1,245,215,30,0.878,3.7,486:23,0,0,0,0,0
Les Kuntar,L,6,4,2,2,0,,130,114,16,0.877,3.18,301:48,0,0,0,0,2
Jesper Wallstedt,L,5,5,2,3,,0,138,121,17,0.877,3.44,296:43,1,0,0,0,2
Michael Wall,L,4,3,2,2,,0,81,71,10,0.877,2.97,201:42,0,0,1,1,0
Dennis Hildeby,L,3,3,2,1,,0,88,77,11,0.875,3.68,179:10,0,0,0,0,0
Patrick Desrochers,L,11,8,2,6,1,,258,225,33,0.872,3.67,540:03,0,0,0,0,2
Devin Cooley,L,6,6,2,3,,1,192,167,25,0.87,4.98,301:29,0,0,0,0,0
Mike Bales,L,23,16,2,15,1,,589,512,77,0.869,4.13,1119:17,0,0,0,0,2
Michel Dumas,L,8,5,2,1,2,,182,158,24,0.868,3.97,362:30,0,0,1,1,0
Ken Ellacott,L,12,8,2,3,4,,309,268,41,0.867,4.47,550:54,0,0,0,0,0
Mark Holden,L,8,4,2,2,1,,167,142,25,0.85,4.03,372:18,0,0,1,1,0
Bob Champoux,L,17,16,2,11,3,,527,447,80,0.848,5.21,922:07,0,0,0,0,0
Scott Gordon,L,23,17,2,16,0,,592,491,101,0.829,5.6,1081:59,0,0,0,0,0
Jari Kaarela,L,5,4,2,2,0,,115,93,22,0.809,6.0,220:00,0,0,0,0,2
Harry Mummery,L,4,2,2,1,0,,,,20,--,6.3,190:30,0,0,0,0,0
Art Brooks,R,4,3,2,2,0,,,,23,--,6.27,220:00,0,0,0,0,0
Steve Buzinski,L,9,9,2,6,1,,,,55,--,5.89,560:00,0,0,0,0,0
Maurice Courteau,L,6,6,2,4,0,,,,33,--,5.5,360:00,0,0,0,0,0
Dave Gatherum,L,3,3,2,0,1,,,,3,--,1.0,180:00,1,0,0,0,0
Sammy Hebert,R,4,4,2,1,0,,,,19,--,5.7,200:00,0,0,0,0,0
Gilles Mayer,L,9,9,2,6,1,,142,124,24,--,2.67,539:30,0,0,0,0,0
Doug Stevenson,L,8,8,2,6,0,,,,39,--,4.88,480:00,0,0,0,0,0
Harvey Teno,L,5,5,2,3,0,,,,15,--,3.0,300:00,0,0,0,0,0
Michael Rosati,L,1,0,1,0,0,,12,12,0,1,0.0,28:07,0,0,0,0,0
Cody Rudkowsky,L,1,0,1,0,0,,10,10,0,1,0.0,30:03,0,0,0,0,0
Jakub Dobes,L,1,1,1,0,,0,34,34,0,1,0.0,59:44,1,0,0,0,0
Erik Portillo,L,1,1,1,0,,0,29,28,1,0.966,1.02,58:37,0,0,0,0,0
Kristers Gudlevskis,L,3,2,1,0,,1,73,70,3,0.959,1.37,131:11,0,0,0,0,0
Ray Leblanc,R,1,1,1,0,0,,22,21,1,0.955,1.0,60:00,0,0,0,0,0
Richard Shulmistra,L,2,2,1,1,0,,51,48,3,0.941,1.48,121:53,0,0,0,0,0
Dylan Ferguson,L,3,2,1,1,,0,85,79,6,0.929,2.81,128:06,0,0,0,0,0
Kevin Boyle,L,5,4,1,3,,0,139,129,10,0.928,2.17,276:51,1,0,0,0,0
Zach Fucale,L,4,3,1,1,,1,66,61,5,0.924,1.75,171:35,1,0,0,0,0
Mike Minard,L,1,1,1,0,0,,36,33,3,0.917,3.0,60:00,0,0,0,0,0
Kevin Mandolese,L,3,3,1,2,,0,119,109,10,0.916,3.29,182:12,0,0,0,0,0
Adam Werner,L,2,1,1,1,,0,58,53,5,0.914,3.42,87:50,0,0,0,0,0
Len Broderick,L,1,1,1,0,0,,22,20,2,0.909,2.0,60:00,0,0,0,0,0
Matthew Yeats,L,5,4,1,3,0,,141,128,13,0.908,3.03,257:34,0,0,0,0,2
Eetu Makiniemi,L,2,1,1,0,,1,32,29,3,0.906,2.13,84:20,0,0,0,0,0
Nathan Lieuwen,L,7,5,1,4,,0,191,173,18,0.906,2.97,363:22,0,0,0,0,0
Derek Gustafson,L,5,4,1,3,0,,104,94,10,0.904,2.27,264:53,0,0,0,0,0
Philippe De Rouville,L,3,2,1,2,0,,93,84,9,0.903,3.16,171:08,0,0,0,0,0
Zachary Sawchenko,L,7,3,1,2,,1,151,136,15,0.901,3.35,268:58,0,0,0,0,0
Mike Lenarduzzi,L,4,2,1,1,1,,99,89,10,0.899,3.18,188:45,0,0,0,0,0
Jean-Francois Damphousse,L,6,4,1,3,0,,115,103,12,0.896,2.45,293:38,0,0,0,0,0
Daniel Taylor,L,4,3,1,2,,0,112,100,12,0.893,3.63,198:29,0,0,0,0,0
Ted Tucker,L,5,2,1,1,1,,93,83,10,0.892,3.39,176:53,0,0,0,0,0
Rastislav Stana,L,6,3,1,2,0,,100,89,11,0.89,3.12,211:15,0,0,0,0,0
Cristopher Nilstorp,R,6,5,1,3,,1,163,145,18,0.89,3.26,330:47,0,0,0,0,0
Nathan Lawson,L,11,7,1,4,,2,253,225,28,0.889,4.24,396:11,0,0,0,0,0
Jeremy Smith,L,10,8,1,6,,1,286,254,32,0.888,3.54,542:43,0,0,0,0,0
Donald Cutts,L,6,6,1,2,1,,142,126,16,0.887,3.57,268:36,0,0,0,0,6
Claude Pronovost,L,3,2,1,1,0,,62,55,7,0.887,3.5,120:00,1,0,0,0,2
Tobias Stephan,L,11,6,1,3,,2,248,219,29,0.883,3.49,498:30,0,0,1,1,0
Peter Mannino,L,6,2,1,1,,0,127,112,15,0.882,3.99,225:31,0,0,0,0,0
Michael Zanier,L,3,3,1,1,1,,100,88,12,0.88,3.89,185:00,0,0,0,0,0
Tom McCollum,L,3,0,1,0,,0,33,29,4,0.879,2.98,80:31,0,0,0,0,0
Paul Skidmore,L,2,2,1,1,0,,49,43,6,0.878,3.0,119:51,0,0,0,0,0
Gerry Gray,L,8,7,1,5,1,,263,228,35,0.867,4.77,440:00,0,0,0,0,0
Al Millar,L,6,6,1,4,1,,183,158,25,0.863,4.17,360:00,0,0,0,0,0
Dieter Kochan,L,21,13,1,11,1,,406,350,56,0.862,3.96,848:56,0,0,0,0,0
Magnus Chrona,L,9,8,1,6,,1,262,225,37,0.859,4.71,471:15,0,0,0,0,0
Carl Wetzel,L,7,5,1,4,1,,155,133,22,0.858,4.39,300:46,0,0,0,0,0
Sergei Mylnikov,L,10,10,1,7,2,,329,282,47,0.857,4.97,567:58,0,0,0,0,0
Dave McLelland,L,2,2,1,1,0,,70,60,10,0.857,5.0,120:00,0,0,0,0,0
Jean-Marc Pelletier,L,7,5,1,4,0,,161,138,23,0.857,3.9,353:24,0,0,0,0,0
Sebastian Cossa,L,1,0,1,0,,0,14,12,2,0.857,2.67,45:00,0,0,0,0,0
Daniel Lorenz,L,8,5,1,5,0,,174,149,25,0.856,4.2,356:48,0,0,0,0,0
Gary Kurt,L,16,13,1,7,5,,417,357,60,0.856,4.3,837:23,0,0,0,0,0
Geoff Sarjeant,L,8,4,1,2,1,,139,119,20,0.856,4.13,290:50,0,0,1,1,4
Hannu Kamppuri,L,13,11,1,10,1,,349,295,54,0.845,5.11,633:46,0,0,1,1,2
Justin Pogge,L,7,6,1,4,,1,173,146,27,0.844,4.36,371:42,0,0,0,0,0
Hunter Miska,L,6,5,1,1,,2,120,101,19,0.842,4.1,278:04,0,0,0,0,0
George Maneluk,L,4,2,1,1,0,,94,79,15,0.84,6.43,140:00,0,0,0,0,2
Darrell May,L,6,6,1,5,0,,192,161,31,0.839,5.14,362:00,0,0,1,1,2
Chad Erickson,R,2,2,1,1,0,,55,46,9,0.836,4.5,120:00,0,0,0,0,0
David Goverde,R,5,5,1,4,0,,151,122,29,0.808,6.25,278:17,0,0,1,1,0
David Ayres,L,1,0,1,0,,0,10,8,2,0.8,4.18,28:41,0,0,0,0,0
Dave Tataryn,L,2,2,1,1,0,,43,33,10,0.767,7.5,80:00,0,0,0,0,0
Iiro Tarkki,L,1,0,1,0,,0,10,7,3,0.7,4.41,40:51,0,0,0,0,0
Odie Cleghorn,R,1,1,1,0,0,,,,2,--,2.0,60:00,0,0,0,0,0
Lorne Anderson,R,3,3,1,2,0,,,,18,--,6.0,180:00,0,0,0,0,0
Andre Binette,L,1,1,1,0,0,,,,4,--,4.0,60:00,0,0,0,0,0
Abbie Cox,L,5,3,1,1,2,,,,11,--,2.51,263:00,0,0,0,0,0
Nick Damore,L,1,1,1,0,0,,,,3,--,3.0,60:00,0,0,0,0,0
Bill Dickie,R,1,1,1,0,0,,,,3,--,3.0,60:00,0,0,0,0,0
Claude Evans,L,5,5,1,2,1,,34,30,16,--,3.69,260:00,0,0,0,0,0
Hec Fowler,L,7,7,1,6,0,,,,42,--,6.16,409:00,0,0,0,0,0
Gord Henry,L,3,3,1,2,0,,,,5,--,1.67,180:00,1,0,0,0,0
Doug Jackson,L,6,6,1,4,1,,,,42,--,7.0,360:00,0,0,0,0,0
Percy Jackson,L,7,5,1,3,1,,,,26,--,4.0,390:00,0,0,0,0,0
Frenchy Lacroix,L,5,4,1,4,0,,,,16,--,3.43,280:00,0,0,0,0,0
Jean Marois,L,3,3,1,2,0,,,,15,--,5.0,180:00,0,0,0,0,0
Hal Murphy,R,1,1,1,0,0,,,,4,--,4.0,60:00,0,0,0,0,0
Marcel Pelletier,R,8,5,1,6,0,,30,27,31,--,4.72,394:12,0,0,0,0,2
Herb Stuart,L,3,3,1,2,0,,,,5,--,1.67,180:00,0,0,0,0,0
Chris Clifford,L,2,0,0,0,0,,8,8,0,1,0.0,24:10,0,0,0,0,0
Robbie Irons,L,1,0,0,0,0,,1,1,0,1,0.0,2:59,0,0,0,0,0
Joe Junkin,L,1,0,0,0,0,,4,4,0,1,0.0,8:56,0,0,0,0,0
Corrie D'alessio,L,1,0,0,0,0,,3,3,0,1,0.0,11:00,0,0,0,0,0
Sean Gauthier,L,1,0,0,0,0,,2,2,0,1,0.0,3:29,0,0,0,0,0
Jamie Ram,L,1,0,0,0,0,,9,9,0,1,0.0,26:58,0,0,0,0,0
Mathieu Chouinard,L,1,0,0,0,0,,2,2,0,1.0,0.0,2:43,0,0,0,0,0
Simon Lajeunesse,L,1,0,0,0,0,,9,9,0,1.0,0.0,23:30,0,0,0,0,0
Olivier Michaud,L,1,0,0,0,0,,14,14,0,1.0,0.0,18:05,0,0,0,0,0
Tyler Weiman,L,1,0,0,0,,0,10,10,0,1.0,0.0,15:46,0,0,0,0,0
Chris Holt,L,2,0,0,0,,0,5,5,0,1.0,0.0,28:57,0,0,0,0,0
Jeff Frazee,L,1,0,0,0,,0,3,3,0,1.0,0.0,18:36,0,0,0,0,0
Matt Keetley,R,1,0,0,0,,0,2,2,0,1.0,0.0,9:22,0,0,0,0,0
Brian Foster,L,1,0,0,0,,0,1,1,0,1.0,0.0,4:52,0,0,0,0,0
Riku Helenius,L,1,0,0,0,,0,2,2,0,1.0,0.0,6:52,0,0,0,0,0
Mike Murphy,L,2,0,0,1,,0,9,9,0,1.0,0.0,36:06,0,0,0,0,0
Adam Wilcox,L,1,0,0,1,,0,14,14,0,1.0,0.0,38:39,0,0,0,0,0
Scott Foster,L,1,0,0,0,,0,7,7,0,1.0,0.0,14:01,0,0,0,0,0
Matthew Berlin,L,1,0,0,0,,0,1,1,0,1.0,0.0,2:26,0,0,0,0,0
Georgi Romanov,L,2,0,0,0,,0,30,29,1,0.967,1.01,59:15,0,0,0,0,0
Richard Laferriere,L,1,0,0,0,0,,19,18,1,0.947,3.0,20:00,0,0,0,0,0
Landon Bow,L,2,0,0,0,,0,19,18,1,0.947,1.03,58:15,0,0,0,0,0
Marek Langhamer,L,2,0,0,0,,0,18,17,1,0.944,1.35,44:24,0,0,0,0,0
Ted Ouimet,L,1,1,0,1,0,,31,29,2,0.935,2.02,59:21,0,0,0,0,0
Ken Brown,L,1,0,0,0,0,,14,13,1,0.929,3.37,17:49,0,0,0,0,0
Jordan Willis,L,1,0,0,1,0,,14,13,1,0.929,3.2,18:46,0,0,0,0,0
Tomas Popperle,L,2,0,0,0,,0,14,13,1,0.929,1.35,44:30,0,0,0,0,0
Claude Legris,L,4,1,0,1,1,,52,48,4,0.923,2.62,91:30,0,0,1,1,0
Alexander Pechurskiy,L,1,0,0,0,,0,13,12,1,0.923,1.69,35:31,0,0,0,0,0
Dylan Wells,L,1,0,0,0,,0,13,12,1,0.923,3.0,20:00,0,0,0,0,0
Trent Miner,L,1,0,0,0,,0,13,12,1,0.923,1.72,34:58,0,0,0,0,0
Kenneth Appleby,L,4,1,0,1,,0,63,58,5,0.921,2.08,144:20,0,0,0,0,0
Pauli Jaks,L,1,0,0,0,0,,25,23,2,0.92,3.0,40:00,0,0,0,0,0
Johan Backlund,L,1,1,0,1,,0,24,22,2,0.917,3.0,40:00,0,0,0,0,0
Andrey Makarov,L,1,1,0,1,,0,36,33,3,0.917,3.0,60:00,0,0,0,0,0
Wayne Cowley,L,1,0,0,1,0,,35,32,3,0.914,3.15,57:13,0,0,0,0,0
Drew MacIntyre,L,6,1,0,2,,0,91,83,8,0.912,2.41,199:10,0,0,0,0,0
Matthew O'Connor,L,1,1,0,1,,0,34,31,3,0.912,3.1,58:02,0,0,0,0,0
Bruce Dowie,L,2,1,0,1,0,,43,39,4,0.907,3.33,71:58,0,0,0,0,0
Mark Visentin,L,1,1,0,1,,0,32,29,3,0.906,3.06,58:49,0,0,0,0,0
Don Keenan,L,1,1,0,1,0,,41,37,4,0.902,4.0,60:00,0,0,0,0,0
Gilles Senn,R,2,1,0,1,,0,41,37,4,0.902,3.42,70:05,0,0,0,0,0
Alain Raymond,L,1,0,0,1,0,,20,18,2,0.9,3.06,39:11,0,0,0,0,0
Warren Sharples,L,1,1,0,0,1,,40,36,4,0.9,3.69,65:00,0,0,0,0,0
Dan Olesevich,L,1,0,0,0,1,,19,17,2,0.895,4.12,29:09,0,0,0,0,0
Tom Askey,L,7,3,0,1,2,,113,101,12,0.894,2.64,272:47,0,0,0,0,0
Gilles Boisvert,L,3,3,0,3,0,,82,73,9,0.89,3.0,180:00,0,0,0,0,0
Chris Beckford-Tseu,L,1,0,0,0,,0,9,8,1,0.889,2.25,26:37,0,0,0,0,0
Robert Dupuis,L,1,1,0,1,0,,35,31,4,0.886,4.05,59:17,0,0,0,0,0
Don Sylvestri,L,3,1,0,0,2,,52,46,6,0.885,3.53,102:05,0,0,0,0,2
Sami Aittokallio,L,2,2,0,1,,0,43,38,5,0.884,3.36,89:20,0,0,0,0,0
Gerald Coleman,L,2,0,0,0,,1,17,15,2,0.882,2.77,43:16,0,0,0,0,0
Bruce Racine,L,11,1,0,3,0,,101,89,12,0.881,3.13,230:13,0,0,0,0,2
Mark Dekanich,L,1,0,0,0,,0,25,22,3,0.88,3.6,49:59,0,0,0,0,0
Ryan Bach,L,3,1,0,3,0,,66,58,8,0.879,4.45,107:46,0,0,0,0,0
Matt Underhill,L,1,1,0,1,0,,33,29,4,0.879,3.95,60:44,0,0,0,0,0
Martin Brochu,L,9,5,0,5,0,,178,156,22,0.876,3.58,368:35,0,0,0,0,2
Parris Duffus,L,1,0,0,0,0,,8,7,1,0.875,2.08,28:49,0,0,0,0,0
Matt Zaba,L,1,0,0,0,,0,16,14,2,0.875,3.56,33:43,0,0,0,0,0
Connor Knapp,L,2,1,0,0,,1,32,28,4,0.875,3.14,76:31,0,0,1,1,0
Yaniv Perets,L,2,0,0,0,,0,8,7,1,0.875,2.86,20:58,0,0,0,0,0
Jan Lasak,L,6,4,0,4,0,,143,125,18,0.874,4.04,267:37,0,0,0,0,2
Steve Janaszak,L,3,2,0,1,1,,119,104,15,0.874,5.63,160:00,0,0,0,0,0
Olle Eriksson Ek,L,1,1,0,0,,1,39,34,5,0.872,4.69,63:59,0,0,0,0,0
Terry Kleisinger,L,4,3,0,2,0,,109,95,14,0.872,4.42,190:13,0,0,0,0,2
Josh Tordjman,L,2,2,0,2,,0,62,54,8,0.871,4.08,117:42,0,0,0,0,0
Robert Dopson,L,2,0,0,0,0,,23,20,3,0.87,3.96,45:25,0,0,0,0,0
Calvin Heeter,L,1,1,0,0,,1,38,33,5,0.868,4.69,63:59,0,0,0,0,0
Pat Rupp,L,1,1,0,1,0,,30,26,4,0.867,4.0,60:00,0,0,0,0,0
Jason Kasdorf,L,1,1,0,1,,0,30,26,4,0.867,4.0,60:00,0,0,0,0,0
Alexei Melnichuk,L,3,2,0,1,,1,81,70,11,0.864,5.05,130:35,0,0,0,0,0
Michael Sands,L,6,6,0,5,0,,191,165,26,0.864,5.18,301:26,0,0,0,0,2
Don Caley,L,1,0,0,0,0,,22,19,3,0.864,6.0,30:00,0,0,0,0,0
Michael O'Neill,L,21,13,0,9,2,,433,372,61,0.859,4.28,855:31,0,0,0,0,0
Zane McIntyre,L,8,3,0,4,,1,155,133,22,0.858,3.97,332:37,0,0,0,0,0
Randy Ireland,L,2,0,0,0,0,,21,18,3,0.857,6.02,29:53,0,0,0,0,0
Claude Cyr,L,1,0,0,0,0,,7,6,1,0.857,3.0,20:00,0,0,0,0,0
Kasimir Kaskisuo,L,2,1,0,1,,0,41,35,6,0.854,4.78,75:22,0,0,0,0,0
Patrick Labrecque,L,2,1,0,1,0,,47,40,7,0.851,4.29,97:48,0,0,0,0,2
Brian Finley,R,4,2,0,2,0,0,87,74,13,0.851,4.7,165:56,0,0,0,0,0
Alexander Salak,L,2,0,0,1,,0,40,34,6,0.85,5.41,66:35,0,0,0,0,0
Michel Larocque,L,3,2,0,2,0,,59,50,9,0.847,3.55,151:56,0,0,0,0,0
Joe Schaefer,L,2,0,0,2,0,,52,44,8,0.846,5.39,89:02,0,0,0,0,0
Vitali Yeremeyev,L,4,3,0,4,0,,104,88,16,0.846,4.52,212:24,0,0,0,0,0
Drew Commesso,L,2,1,0,1,,0,26,22,4,0.846,3.36,71:21,0,0,0,0,0
Robert Parent,L,3,2,0,2,0,,97,82,15,0.845,5.65,159:11,0,0,0,0,0
Jussi Rynnas,L,5,2,0,2,,0,90,76,14,0.844,4.17,201:39,0,0,0,0,0
Brian Eklund,L,1,1,0,1,,0,19,16,3,0.842,3.09,58:13,0,0,0,0,0
Harrison Gray,L,1,0,0,1,0,,31,26,5,0.839,7.5,40:00,0,0,0,0,0
Neil Little,L,2,1,0,2,0,,37,31,6,0.838,3.86,93:12,0,0,0,0,10
Tyrone Garner,L,3,1,0,2,0,,74,62,12,0.838,5.18,139:03,0,0,0,0,0
Yutaka Fukufuji,L,4,1,0,3,,0,43,36,7,0.837,4.37,96:10,0,0,0,0,0
Bob Sneddon,R,7,3,0,2,0,,127,106,21,0.835,5.63,223:49,0,0,0,0,0
Randy Exelby,L,2,1,0,1,0,,30,25,5,0.833,4.77,62:50,0,0,0,0,0
Evgeny Konstantinov,L,2,0,0,0,0,,6,5,1,0.833,2.94,20:24,0,0,0,0,2
Brandon Halverson,L,1,0,0,0,,0,6,5,1,0.833,4.78,12:33,0,0,0,0,0
Matt Villalta,L,2,1,0,1,,0,29,24,5,0.828,4.17,71:58,0,0,0,0,0
