Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Erik Kallgren,L,24,21,11,6,,5,631,563,68,0.892,3.04,1341:09,1,0,0,0,2
Ken Broderick,R,27,23,11,12,1,,676,602,74,0.891,3.04,1462:06,1,0,1,1,2
Peter McDuffe,L,57,54,11,36,6,,1891,1673,218,0.885,4.08,3208:01,0,0,1,1,2
Mads Sogaard,L,29,25,11,11,,3,753,662,91,0.879,3.55,1537:55,0,0,1,1,2
Mike Morrison,L,29,21,11,7,,3,519,452,67,0.871,3.28,1225:59,0,0,1,1,2
Rob Holland,L,44,42,11,22,9,,1227,1056,171,0.861,4.09,2507:12,1,0,0,0,2
Jim Craig,L,30,27,11,10,7,,700,600,100,0.857,3.78,1585:49,0,0,1,1,11
Philippe Sauve,L,32,25,10,14,3,0,832,739,93,0.888,3.45,1616:59,0,0,0,0,23
Michael Garnett,L,24,20,10,7,,4,634,561,73,0.885,3.44,1271:27,2,0,2,2,0
Harvey Bennett,L,25,24,10,13,2,,,,106,--,4.36,1459:00,0,0,0,0,0
Hec Highton,R,24,24,10,14,0,,,,108,--,4.5,1440:00,0,0,0,0,0
Ivan Mitchell,L,22,21,10,9,0,,,,88,--,4.44,1190:00,0,0,0,0,0
Herb Rheaume,L,31,31,10,20,1,,,,92,--,2.93,1887:00,0,0,0,0,0
Seth Martin,L,30,26,9,10,7,,780,713,67,0.914,2.6,1548:58,1,0,1,1,0
Zac Bierk,L,47,36,9,20,5,,1145,1032,113,0.901,3.18,2134:41,1,0,1,1,6
Marcus Hogberg,L,45,36,9,18,,9,1229,1102,127,0.897,3.33,2285:18,0,0,0,0,0
Fern Rivard,L,55,47,9,26,11,,1617,1427,190,0.882,3.99,2855:16,2,0,0,0,10
Bob Johnson,L,23,19,9,9,1,,555,489,66,0.881,3.73,1060:46,0,0,0,0,8
Don Head,L,38,38,9,26,3,,1307,1149,158,0.879,4.16,2280:00,2,0,0,0,14
John Adams,L,22,21,9,10,1,,690,605,85,0.877,4.32,1180:00,1,0,0,0,2
Michel Belhumeur,L,65,53,9,36,7,,2011,1757,254,0.874,4.62,3301:17,0,0,4,4,12
Jim Pettie,L,21,18,9,7,2,,488,417,71,0.855,3.68,1156:40,1,0,0,0,23
Niklas Svedberg,L,19,15,8,5,,1,460,423,37,0.92,2.31,961:02,2,0,0,0,0
Bob Perreault,L,31,31,8,16,7,,986,890,103,0.903,3.39,1825:42,3,0,0,0,0
Marek Mazanec,R,31,25,8,13,,4,784,702,82,0.895,2.98,1652:51,2,0,1,1,0
Jon Gillies,L,35,27,8,16,,3,924,823,101,0.891,3.39,1787:50,0,0,1,1,2
Magnus Hellberg,L,26,17,8,8,,1,572,509,63,0.89,3.08,1226:57,0,0,0,0,0
Daryl Reaugh,L,27,20,8,9,1,,628,556,72,0.885,3.47,1245:13,1,0,0,0,4
Ivan Prosvetov,L,24,19,8,9,,2,637,561,76,0.881,3.7,1231:14,0,0,0,0,0
Jim Corsi,L,26,20,8,14,3,,659,576,83,0.874,3.66,1359:31,0,0,3,3,6
Ron Scott,L,28,22,8,13,4,,704,613,91,0.871,3.77,1447:46,0,0,0,0,2
Maxime Lagace,L,20,18,8,9,,1,548,477,71,0.87,3.9,1091:10,1,0,0,0,0
Ed Dyck,L,49,37,8,28,5,,1261,1083,178,0.859,4.36,2448:15,1,0,0,0,0
Doug Dadswell,L,27,20,8,8,3,,700,601,99,0.859,4.42,1343:08,0,0,2,2,2
Jaxson Stauber,L,9,9,7,1,,1,274,251,23,0.916,2.52,547:19,1,0,0,0,0
Jason Bacashihua,L,38,29,7,17,,4,965,866,99,0.897,3.19,1859:50,0,0,1,1,2
Mike McKenna,R,35,27,7,17,,3,976,869,107,0.89,3.6,1785:18,1,0,1,1,0
Sam St. Laurent,L,34,25,7,12,4,,808,716,92,0.886,3.51,1571:14,1,0,0,0,4
Dennis Riggin,L,18,15,7,9,2,,465,412,53,0.886,3.19,996:44,1,0,0,0,0
Rich Parent,L,32,20,7,11,5,,697,615,82,0.882,3.15,1560:36,1,0,0,0,4
Rick Knickle,L,14,12,7,6,0,,363,319,44,0.879,3.74,706:01,0,0,0,0,2
Arturs Silovs,L,16,15,7,6,,2,399,350,49,0.877,3.22,914:09,0,0,0,0,0
Dave Reece,L,14,12,7,5,2,,350,307,43,0.877,3.32,776:00,2,0,0,0,0
Bill Oleschuk,L,55,48,7,28,10,,1466,1278,188,0.872,3.98,2831:28,1,0,0,0,14
Norm Foster,L,13,10,7,4,0,,265,231,34,0.872,3.27,623:07,0,0,0,0,2
Rollie Boutin,L,22,18,7,10,1,,582,507,75,0.871,3.96,1135:38,0,0,1,1,6
