Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Ron Low,L,7,7,1,6,0,,268,239,29,0.892,3.85,451:37,0,0,0,0,0
Mikko Koskinen,L,7,3,1,4,,0,157,140,17,0.892,3.42,298:24,0,0,0,0,0
Martin Gerber,L,12,8,1,5,0,,255,227,28,0.89,3.5,479:51,1,0,0,0,4
Alex Lyon,L,4,3,1,2,,0,107,95,12,0.888,3.63,198:32,0,0,0,0,0
Eddie Lack,L,4,4,1,3,,,88,78,10,0.886,3.03,198:16,0,0,0,0,0
Stephane Beauregard,R,4,3,1,3,0,,105,93,12,0.886,3.02,238:06,0,0,0,0,0
John Grahame,L,6,5,1,4,0,,163,144,19,0.883,3.42,333:30,0,0,0,0,0
Ed Staniowski,L,8,7,1,6,0,,234,206,28,0.88,3.94,425:59,0,0,0,0,0
Troy Gamble,L,4,4,1,3,0,,133,117,16,0.88,3.85,249:02,0,0,0,0,0
Stephane Fiset,L,14,9,1,7,0,,305,268,37,0.879,3.95,562:14,0,0,0,0,0
Gordie Bell,L,2,2,1,1,0,,70,61,9,0.871,4.5,120:00,0,0,0,0,0
Darren Pang,L,6,4,1,3,0,,134,116,18,0.866,4.35,248:31,0,0,0,0,2
Al Smith,L,6,5,1,4,0,,155,134,21,0.865,3.98,316:43,0,0,0,0,0
Pyotr Kochetkov,L,6,2,1,4,,0,131,113,18,0.863,4.01,269:35,0,0,0,0,2
Doug Soetaert,L,5,3,1,2,0,,100,86,14,0.86,4.67,180:00,0,0,0,0,0
Bob Champoux,L,1,0,1,0,0,,18,14,4,0.778,4.39,54:38,0,0,0,0,0
Lester Patrick,L,1,0,1,0,0,,,,1,--,1.71,35:05,0,0,0,0,0
Red Almas,R,5,5,1,3,0,,,0,13,--,3.02,258:05,0,0,0,0,0
Claude Bourque,L,3,3,1,2,0,,,0,8,--,2.56,187:47,1,0,0,0,0
Connie Dion,R,5,5,1,4,0,,,0,17,--,3.4,300:00,0,0,0,0,0
Jack Gelineau,L,4,4,1,2,0,,,0,7,--,1.62,260:00,1,0,0,0,0
Gord Henry,L,5,4,1,4,0,,,71,20,--,4.24,282:52,0,0,0,0,0
Hap Holmes,L,2,2,1,1,0,,,0,7,--,3.5,120:00,0,0,0,0,0
Alfie Moore,R,3,3,1,2,0,,,0,7,--,2.33,180:00,0,0,0,0,0
Dominic Roussel,L,1,0,0,0,0,,8,8,0,1,0.0,22:58,0,0,0,0,0
Corey Schwab,L,3,0,0,0,0,,13,13,0,1,0.0,40:08,0,0,0,0,0
Andrei Trefilov,L,1,0,0,0,0,,4,4,0,1,0.0,5:11,0,0,0,0,0
Mathieu Garon,R,2,0,0,0,0,,14,14,0,1,0.0,36:14,0,0,0,0,0
Steve Valiquette,L,2,0,0,0,,,9,9,0,1,0.0,40:00,0,0,0,0,0
Reinhard Divis,L,1,0,0,0,0,,8,8,0,1,0.0,18:25,0,0,0,0,0
J-F Berube,L,1,0,0,0,,,2,2,0,1,0.0,4:47,0,0,0,0,0
Erik Kallgren,L,1,0,0,0,,0,10,10,0,1,0.0,30:46,0,0,0,0,0
Chad Johnson,L,1,0,0,1,,,21,20,1,0.952,1.16,51:50,0,0,0,0,0
Mikhail Shtalenkov,L,4,2,0,3,0,,162,152,10,0.938,2.84,211:27,0,0,0,0,2
Martin Prusek,R,1,0,0,0,0,,15,14,1,0.933,1.5,40:00,0,0,0,0,0
Kevin Poulin,L,2,0,0,0,,,15,14,1,0.933,1.14,52:26,0,0,0,0,0
Ty Conklin,L,2,0,0,1,,,12,11,1,0.917,2.38,25:12,0,0,0,0,0
Jonas Gustavsson,L,2,2,0,2,,,72,66,6,0.917,2.72,132:33,0,0,0,0,0
Connor Ingram,L,4,3,0,3,,0,161,147,14,0.913,3.64,230:51,0,0,0,0,0
Roy Edwards,R,4,3,0,3,0,,121,110,11,0.909,3.23,204:29,0,0,0,0,0
Dany Sabourin,L,2,0,0,0,,,11,10,1,0.909,4.14,14:29,0,0,0,0,0
Steve Passmore,L,3,2,0,2,0,,62,56,6,0.903,2.62,137:38,0,0,0,0,0
Kristers Gudlevskis,L,2,0,0,1,,,20,18,2,0.9,3.02,39:42,0,0,0,0,0
Bob Janecyk,L,3,3,0,3,0,,99,89,10,0.899,3.28,183:00,0,0,0,0,0
John Blue,L,2,1,0,1,0,,49,44,5,0.898,3.12,96:02,0,0,0,0,0
Peter Skudra,L,3,0,0,1,0,,57,51,6,0.895,3.1,115:58,0,0,0,0,0
Jamie Storr,L,5,2,0,3,0,,102,91,11,0.892,3.65,181:03,0,0,0,0,0
Aaron Dell,L,4,0,0,1,,,64,57,7,0.891,3.08,136:15,0,0,0,0,0
Ondrej Pavelec,L,4,4,0,4,,,137,122,15,0.891,3.74,240:56,0,0,0,0,0
Anders Lindback,L,5,4,0,3,,,127,113,14,0.89,3.69,227:45,0,0,0,0,0
Michel Belhumeur,L,1,0,0,0,0,,9,8,1,0.889,5.94,10:06,0,0,0,0,0
Michel Dumas,L,1,0,0,0,0,,9,8,1,0.889,3.24,18:31,0,0,0,0,0
Wade Dubielewicz,L,1,1,0,1,,,35,31,4,0.886,4.06,59:03,0,0,0,0,0
Pat Jablonski,R,4,0,0,0,0,,52,46,6,0.885,2.6,138:12,0,0,0,0,0
Seth Martin,L,2,0,0,0,0,,43,38,5,0.884,4.12,72:51,0,0,0,0,0
Paul Harrison,L,4,1,0,1,0,,75,66,9,0.88,3.54,152:25,0,0,0,0,0
Pete Lopresti,L,2,2,0,2,0,,50,44,6,0.88,4.7,76:32,0,0,0,0,0
Jamie McLennan,L,5,1,0,2,0,,58,51,7,0.879,3.13,133:59,0,0,0,0,18
Jimmy Waite,L,6,2,0,3,0,,114,100,14,0.877,3.97,211:28,0,0,0,0,0
Dave Dryden,L,3,2,0,2,0,,72,63,9,0.875,4.23,127:38,0,0,0,0,0
Curt Ridley,L,2,2,0,2,0,,64,56,8,0.875,4.03,119:12,0,0,0,0,0
Jhonas Enroth,L,1,0,0,0,,,8,7,1,0.875,3.49,17:11,0,0,0,0,0
Mike Condon,L,2,0,0,0,,,32,28,4,0.875,3.92,61:17,0,0,0,0,0
Kari Takko,L,4,1,0,1,0,,55,48,7,0.873,3.86,108:43,0,0,0,0,0
Chris Driedger,L,3,2,0,1,,0,62,54,8,0.871,3.7,129:44,0,0,0,0,0
Eldon Reddick,L,4,2,0,2,0,,74,64,10,0.865,3.59,167:06,0,0,0,0,0
Kay Whitmore,L,4,2,0,2,0,,96,83,13,0.865,4.49,173:48,0,0,0,0,0
Charlie Lindgren,R,4,4,0,4,,0,103,89,14,0.864,3.58,234:31,0,0,0,0,0
Norm Maracle,L,2,0,0,0,0,,22,19,3,0.864,3.08,58:22,0,0,0,0,0
Dan Vladar,L,2,0,0,0,,0,22,19,3,0.864,3.7,48:38,0,0,0,0,0
Scott Wedgewood,L,3,0,0,0,,0,29,25,4,0.862,2.28,105:21,0,0,0,0,0
Wendell Young,L,2,1,0,1,0,,43,37,6,0.86,3.65,98:38,0,0,1,1,0
Gary Simmons,L,1,0,0,0,0,,7,6,1,0.857,3.0,20:00,0,0,0,0,0
Richard Sevigny,L,4,3,0,3,0,,91,78,13,0.857,3.78,206:15,0,0,1,1,0
Sam St. Laurent,L,1,1,0,0,0,,7,6,1,0.857,5.82,10:19,0,0,0,0,0
Craig Billington,L,8,2,0,2,0,,102,87,15,0.853,4.23,212:52,0,0,0,0,2
Mike Veisor,R,4,2,0,2,0,,99,84,15,0.848,5.02,179:08,0,0,0,0,0
Ken Lockett,L,1,1,0,1,0,,39,33,6,0.846,6.02,59:50,0,0,0,0,0
Jiri Crha,L,5,4,0,4,0,,136,115,21,0.846,6.81,185:03,0,0,0,0,0
Peter Budaj,L,7,1,0,2,,,108,91,17,0.843,5.13,198:58,0,0,0,0,0
Anthony Stolarz,L,1,0,0,0,,0,19,16,3,0.842,5.17,34:50,0,0,0,0,0
Andre Racicot,L,4,0,0,1,0,,24,20,4,0.833,7.68,31:16,0,0,0,0,0
Tom Askey,L,1,0,0,1,0,,11,9,2,0.818,3.99,30:04,0,0,0,0,0
Peter McDuffe,L,1,1,0,1,0,,38,31,7,0.816,7.0,60:00,0,0,0,0,0
Mark Fitzpatrick,L,9,4,0,3,0,,124,101,23,0.815,4.77,289:04,0,0,0,0,21
Bruce Gamble,L,5,5,0,4,0,,133,108,25,0.812,7.29,205:50,0,0,0,0,0
Keith Kinkaid,L,2,2,0,2,,,46,37,9,0.804,5.88,91:50,0,0,0,0,0
Cal Petersen,R,1,0,0,0,,0,20,16,4,0.8,7.45,32:14,0,0,0,0,0
David Rittich,L,4,3,0,4,,0,61,48,13,0.787,5.24,148:48,0,0,0,0,0
Warren Skorodenski,L,2,0,0,0,0,,28,22,6,0.786,10.91,33:00,0,0,0,0,0
Darren Eliot,R,1,0,0,0,0,,29,22,7,0.759,10.5,40:00,0,0,0,0,0
Marco Baron,L,1,0,0,1,0,,12,9,3,0.75,9.0,20:00,0,0,0,0,0
Pheonix Copley,L,1,0,0,0,,0,8,6,2,0.75,4.26,28:11,0,0,0,0,0
Ross Brooks,L,1,1,0,0,0,,11,8,3,0.727,9.0,20:00,0,0,0,0,0
Carter Hutton,L,3,0,0,0,,,3,2,1,0.667,3.01,19:57,0,0,0,0,0
Corrado Micalef,R,3,0,0,0,0,,23,15,8,0.652,9.83,48:49,0,0,0,0,0
Ron Scott,L,1,1,0,0,0,,10,6,4,0.6,7.45,32:13,0,0,0,0,0
Rick Heinz,L,1,0,0,0,0,,2,1,1,0.5,7.93,7:34,0,0,0,0,0
Erik Ersberg,L,1,0,0,0,,,4,2,2,0.5,9.28,12:56,0,0,0,0,0
Dolly Dolson,L,2,2,0,2,0,,,,7,--,3.5,120:00,0,0,0,0,0
Jake Forbes,L,2,2,0,2,0,,,44,7,--,3.5,120:00,0,0,0,0,0
Jim Franks,L,1,0,0,1,0,,,0,2,--,4.06,29:32,0,0,0,0,0
Paul Goodman,L,3,3,0,3,0,,,0,10,--,3.22,186:36,0,0,0,0,0
John Henderson,L,2,2,0,2,0,,,28,8,--,4.0,120:00,0,0,0,0,0
Hugh Lehman,L,2,2,0,1,1,,,0,10,--,5.0,120:00,0,0,0,0,0
Bruce Racine,L,1,0,0,0,0,,0,0,0,--,0.0,0:33,0,0,0,0,0
Fred Brathwaite,L,1,0,0,0,0,,0,0,0,--,0.0,0:06,0,0,0,0,0
Kevin Hodson,L,1,0,0,0,0,,0,0,0,--,0.0,0:16,0,0,0,0,0
Jean-Sebastien Aubin,R,1,0,0,0,0,,0,0,0,--,0.0,0:54,0,0,0,0,0
Johan Backlund,L,1,0,0,0,,,0,0,0,--,0.0,1:24,0,0,0,0,0
