Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Chris Terreri,L,29,25,12,12,0,,781,695,86,0.89,3.39,1521:58,0,0,0,0,8
Sean Burke,L,38,35,12,23,0,,1058,939,119,0.888,3.32,2149:12,1,0,2,2,16
Greg Stefan,L,30,28,12,17,0,,790,691,99,0.875,3.55,1673:12,1,0,3,3,14
Charlie Gardiner,R,21,21,12,6,3,,,0,35,--,1.43,1471:43,5,0,0,0,0
John Ross Roach,L,29,29,12,14,3,,33,32,60,--,1.89,1900:19,7,0,0,0,0
Jake Allen,L,29,23,11,11,,1,671,620,51,0.924,2.06,1483:02,0,0,0,0,2
John Gibson,L,26,26,11,13,,,754,688,66,0.912,2.8,1412:27,1,0,0,0,0
Martin Biron,L,23,23,11,12,,,738,670,68,0.908,2.87,1423:26,2,0,1,1,2
Glen Hanlon,R,35,26,11,15,0,,872,780,92,0.894,3.15,1750:30,4,0,0,0,16
Wayne Stephenson,L,26,24,11,12,0,,707,628,79,0.888,3.14,1510:57,2,0,1,1,7
Vincent Riendeau,L,25,23,11,12,0,,588,517,71,0.879,3.34,1277:01,1,0,0,0,0
Brian Hayward,L,37,27,11,18,0,,812,707,105,0.871,3.5,1800:30,0,0,0,0,2
Clint Benedict,L,28,28,11,12,5,,,31,53,--,1.86,1707:32,9,0,0,0,0
Mike Karakas,L,23,23,11,12,0,,,27,72,--,3.01,1434:02,3,0,0,0,0
Johan Hedberg,L,23,21,10,13,0,,616,563,53,0.914,2.31,1374:56,2,0,0,0,0
Byron Dafoe,L,27,26,10,16,0,,672,607,65,0.903,2.31,1685:40,3,0,0,0,2
Dan Cloutier,L,25,25,10,13,0,,585,510,75,0.872,3.31,1360:42,0,0,0,0,10
Jim Henry,L,29,29,10,18,0,,,502,80,--,2.76,1740:53,2,0,0,0,0
Georges Vezina,L,13,13,10,3,0,,,0,35,--,2.69,780:00,2,0,0,0,0
Tomas Vokoun,R,22,22,9,13,0,,705,654,51,0.928,2.24,1364:35,2,0,0,0,2
Carter Hart,L,14,14,9,5,,0,431,399,32,0.926,2.23,859:38,2,0,0,0,2
Jeremy Swayman,L,20,18,9,10,,0,554,511,43,0.922,2.38,1083:58,0,0,0,0,0
Ron Tugnutt,L,25,22,9,13,0,,692,636,56,0.919,2.27,1481:58,3,0,0,0,2
Antti Raanta,L,24,19,9,9,,0,539,491,48,0.911,2.48,1160:26,1,0,0,0,0
Alain Chevrier,L,16,16,9,7,0,,483,439,44,0.909,2.61,1013:00,0,0,1,1,0
Roman Cechmanek,L,23,23,9,14,0,,613,557,56,0.909,2.33,1440:22,3,0,0,0,0
Alexandar Georgiev,L,20,18,9,10,,0,552,500,53,0.906,2.72,1168:32,0,0,0,0,0
Steve Shields,L,25,24,9,16,0,,751,677,74,0.901,3.07,1444:04,1,0,0,0,9
Tim Cheveldae,L,25,24,9,15,0,,685,614,71,0.896,3.0,1419:00,2,0,3,3,8
Garth Snow,L,20,17,9,8,0,,461,413,48,0.896,2.77,1038:40,1,0,2,2,11
Eddie Mio,L,17,17,9,7,0,,544,481,63,0.884,3.85,981:41,0,0,0,0,0
Chuck Rayner,L,18,18,9,9,0,,,0,46,--,2.43,1134:02,1,0,0,0,0
Normie Smith,L,12,12,9,2,0,,,0,18,--,1.32,819:17,3,0,0,0,0
Michael Leighton,L,16,14,8,4,,,400,365,35,0.913,2.54,826:56,3,0,0,0,2
Devan Dubnyk,L,26,26,8,18,,,708,640,68,0.904,2.72,1499:27,2,0,1,1,0
Pavel Francouz,R,13,9,8,4,,0,328,295,33,0.899,3.01,656:56,2,0,0,0,0
Pat Riggin,L,25,20,8,13,0,,683,611,72,0.895,3.25,1328:37,0,0,0,0,4
Kari Lehtonen,L,19,18,8,9,,,495,439,56,0.887,3.3,1018:25,2,0,1,1,0
Alec Connell,R,21,21,8,5,8,,24,47,26,--,1.19,1310:00,4,0,0,0,0
Frank McCool,L,13,13,8,5,0,,,0,30,--,2.23,806:52,4,0,0,0,0
Thomas Greiss,L,17,14,7,8,,0,510,470,40,0.922,2.43,987:42,1,0,0,0,0
Jack Campbell,L,18,14,7,8,,0,451,415,36,0.92,2.28,949:22,2,0,0,0,0
Michal Neuvirth,L,16,14,7,7,,,444,408,36,0.919,2.32,929:11,2,0,0,0,0
Frank Pietrangelo,L,12,11,7,5,0,,392,358,34,0.913,2.86,713:10,1,0,1,1,2
Eddie Johnston,L,18,16,7,10,0,,546,489,57,0.896,3.35,1020:45,1,0,0,0,2
Rick Wamsley,L,27,22,7,18,0,,640,559,81,0.873,3.51,1386:27,0,0,0,0,2
Steve Baker,L,14,14,7,7,0,,381,326,55,0.856,4.01,823:41,0,0,0,0,4
Wilf Cude,L,19,19,7,11,1,,,0,51,--,2.44,1256:26,1,0,0,0,0
Charlie Hodge,L,16,12,7,8,0,,350,363,32,--,2.39,803:13,2,0,0,0,0
Earl Robertson,L,15,14,7,7,0,,,0,29,--,1.75,995:31,2,0,0,0,0
David Aebischer,L,13,11,6,5,0,,309,285,24,0.922,2.07,696:17,1,0,0,0,4
Ilya Sorokin,L,14,12,6,6,,0,454,418,37,0.921,2.83,783:39,0,0,0,0,2
Cristobal Huet,L,17,15,6,10,,,535,491,44,0.918,2.68,986:28,0,0,0,0,2
Vesa Toskala,L,11,11,6,5,,,311,283,28,0.91,2.45,686:04,1,0,0,0,0
Doug Favell,L,21,21,6,15,0,,720,654,66,0.908,3.13,1264:54,1,0,0,0,2
Ilya Samsonov,L,22,21,6,14,,0,637,574,63,0.901,3.05,1241:05,0,0,0,0,0
Michel Larocque,L,14,12,6,6,0,,372,335,37,0.901,2.93,758:00,1,0,2,2,0
Denis DeJordy,L,18,15,6,9,0,,543,488,55,0.899,3.49,945:24,0,0,0,0,0
Wayne Thomas,L,15,14,6,8,0,,492,442,50,0.898,3.54,847:49,1,0,0,0,0
Phil Myre,L,12,11,6,5,0,,389,348,41,0.895,3.3,745:25,1,0,0,0,0
Mike Moffat,L,11,11,6,5,0,,290,252,38,0.869,3.45,661:46,0,0,1,1,8
Mario Lessard,L,20,19,6,12,0,,624,540,84,0.865,4.45,1131:27,0,0,2,2,2
Andy Aitkenhead,L,10,10,6,2,2,,,0,15,--,1.48,607:33,3,0,0,0,0
Paul Bibeault,L,20,20,6,14,0,,,0,71,--,3.44,1236:43,2,0,0,0,0
Al Rollins,L,13,13,6,7,0,,,227,30,--,2.38,754:54,0,0,0,0,0
James Reimer,L,11,10,5,5,,0,385,356,29,0.925,2.7,645:36,0,0,0,0,0
Les Binkley,R,7,7,5,2,0,,198,183,15,0.924,2.1,428:28,0,0,0,0,0
Joonas Korpisalo,L,15,15,5,9,,0,523,482,41,0.922,2.59,949:15,2,0,0,0,0
Gary Inness,L,9,9,5,4,0,,295,271,24,0.919,2.68,536:24,0,0,0,0,2
Brent Johnson,L,15,11,5,6,0,,312,285,27,0.913,2.2,738:00,3,0,0,0,6
Juuse Saros,L,23,16,5,11,,0,576,525,51,0.911,2.45,1247:20,0,0,1,1,2
Damian Rhodes,L,13,12,5,7,0,,301,274,27,0.91,2.19,740:17,0,0,0,0,0
Tommy Salo,L,22,21,5,16,0,,637,579,58,0.909,2.55,1367:21,0,0,1,1,4
