Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Oliver Wahlstrom,20242025,"NYI,BOS",R,R,31,2,2,4,-8,26,0.13,2,3,0,1,0,0,0,1,35,5.7,,80.0
Adam Boqvist,20242025,FLA,R,D,14,2,2,4,-5,4,0.29,2,2,0,2,0,0,0,0,18,11.1,,
Jakub Lauko,20242025,MIN,L,C,24,2,2,4,-6,16,0.17,1,3,0,0,1,1,0,1,19,10.5,,16.7
Adam Edstrom,20242025,NYR,L,C,35,2,2,4,-6,23,0.11,2,4,0,0,0,0,0,0,29,6.9,,0.0
Aatu Raty,20242025,VAN,L,C,20,2,2,4,-2,8,0.2,2,4,0,0,0,0,0,0,12,16.7,,56.3
Fraser Minten,20242025,TOR,L,C,11,2,2,4,0,0,0.36,2,3,0,1,0,0,0,1,13,15.4,,45.1
Alec Martinez,20242025,CHI,L,D,15,1,3,4,-7,0,0.27,1,3,0,1,0,0,0,0,15,6.7,,
Ross Johnston,20242025,ANA,L,L,25,1,3,4,1,55,0.16,1,4,0,0,0,0,0,1,8,12.5,,0.0
Christian Fischer,20242025,DET,R,R,31,1,3,4,-3,11,0.13,1,4,0,0,0,0,0,0,20,5.0,,71.4
Derek Ryan,20242025,EDM,R,C,31,1,3,4,-6,12,0.13,1,4,0,0,0,0,0,0,17,5.9,,61.8
Ryan Lomberg,20242025,CGY,L,L,34,1,3,4,4,24,0.12,1,4,0,0,0,0,0,0,23,4.4,,16.7
Jake Bean,20242025,CGY,L,D,23,1,3,4,0,4,0.17,1,4,0,0,0,0,0,0,27,3.7,,
Klim Kostin,20242025,SJS,L,C,21,1,3,4,-4,25,0.19,1,4,0,0,0,0,0,0,18,5.6,,50.0
Ty Dellandrea,20242025,SJS,R,C,32,1,3,4,-9,20,0.13,1,4,0,0,0,0,0,0,25,4.0,,51.2
Jacob Bernard-Docker,20242025,OTT,R,D,25,1,3,4,2,4,0.16,1,4,0,0,0,0,0,0,18,5.6,,
Jakob Pelletier,20242025,CGY,L,L,10,1,3,4,2,0,0.4,1,4,0,0,0,0,0,0,12,8.3,,0.0
Marat Khusnutdinov,20242025,MIN,L,C,34,1,3,4,-2,8,0.12,1,3,0,0,0,1,0,0,13,7.7,,47.4
Ivan Miroshnichenko,20242025,WSH,R,L,15,1,3,4,2,0,0.27,1,3,0,1,0,0,0,0,14,7.1,,
Matthew Poitras,20242025,BOS,R,C,14,1,3,4,-4,6,0.29,1,4,0,0,0,0,0,1,10,10.0,,50.9
Ty Emberson,20242025,EDM,R,D,34,0,4,4,-5,14,0.12,0,3,0,0,0,1,0,0,30,0.0,,
Simon Benoit,20242025,TOR,L,D,35,0,4,4,2,28,0.11,0,4,0,0,0,0,0,0,23,0.0,,
Justin Dowling,20242025,NJD,L,C,25,2,1,3,-2,2,0.12,2,3,0,0,0,0,0,0,17,11.8,,46.6
Miles Wood,20242025,COL,L,L,16,2,1,3,-1,12,0.19,2,3,0,0,0,0,0,1,30,6.7,,33.3
Zack MacEwen,20242025,OTT,R,R,19,2,1,3,1,16,0.16,2,3,0,0,0,0,0,0,23,8.7,,41.7
Rasmus Kupari,20242025,WPG,R,C,33,2,1,3,-3,10,0.09,2,3,0,0,0,0,0,1,32,6.3,,51.7
Brett Berard,20242025,NYR,L,L,13,2,1,3,-6,4,0.23,2,3,0,0,0,0,0,0,25,8.0,,66.7
Nikita Chibrikov,20242025,WPG,L,R,4,2,1,3,1,0,0.75,2,2,0,1,0,0,0,0,6,33.3,,
Justin Holl,20242025,DET,R,D,28,1,2,3,-3,8,0.11,1,3,0,0,0,0,0,0,10,10.0,,
Matt Nieto,20242025,PIT,L,L,17,1,2,3,-2,0,0.18,1,2,0,1,0,0,0,0,14,7.1,,33.3
Henri Jokiharju,20242025,BUF,R,D,26,1,2,3,2,10,0.12,1,3,0,0,0,0,0,1,34,2.9,,
Zach Whitecloud,20242025,VGK,R,D,29,1,2,3,2,14,0.1,1,3,0,0,0,0,0,0,30,3.3,,
Akil Thomas,20242025,LAK,R,C,16,1,2,3,-1,2,0.19,1,3,0,0,0,0,0,0,18,5.6,,38.7
Adam Wilsby,20242025,NSH,L,D,14,1,2,3,3,2,0.21,1,3,0,0,0,0,0,0,19,5.3,,
Logan Mailloux,20242025,MTL,R,D,5,1,2,3,-4,6,0.6,1,3,0,0,0,0,0,0,7,14.3,,
Maveric Lamoureux,20242025,UTA,R,D,15,1,2,3,3,42,0.2,1,3,0,0,0,0,0,0,17,5.9,,
Brendan Smith,20242025,DAL,L,D,15,0,3,3,-4,20,0.2,0,3,0,0,0,0,0,0,11,0.0,,
Travis Hamonic,20242025,OTT,R,D,35,0,3,3,-8,13,0.09,0,3,0,0,0,0,0,0,45,0.0,,
Jon Merrill,20242025,MIN,L,D,29,0,3,3,-4,10,0.1,0,3,0,0,0,0,0,0,19,0.0,,
Jordan Oesterle,20242025,BOS,L,D,15,0,3,3,0,0,0.2,0,3,0,0,0,0,0,0,15,0.0,,
Jansen Harkins,20242025,ANA,L,C,22,0,3,3,-4,12,0.14,0,3,0,0,0,0,0,0,12,0.0,,55.8
Vincent Desharnais,20242025,VAN,R,D,23,0,3,3,-3,15,0.13,0,3,0,0,0,0,0,0,15,0.0,,
Jacob Bryson,20242025,BUF,L,D,22,0,3,3,-2,8,0.14,0,3,0,0,0,0,0,0,7,0.0,,
Nils Lundkvist,20242025,DAL,R,D,27,0,3,3,6,10,0.11,0,3,0,0,0,0,0,0,41,0.0,,
Kaedan Korczak,20242025,VGK,R,D,17,0,3,3,4,0,0.18,0,3,0,0,0,0,0,0,13,0.0,,
Marc Del Gaizo,20242025,NSH,L,D,21,0,3,3,0,17,0.14,0,3,0,0,0,0,0,0,28,0.0,,
Matthew Kessel,20242025,STL,R,D,26,0,3,3,-1,10,0.12,0,3,0,0,0,0,0,0,16,0.0,,
Zack Ostapchuk,20242025,OTT,L,C,22,0,3,3,-1,7,0.14,0,3,0,0,0,0,0,0,8,0.0,,46.0
Tyler Motte,20242025,DET,L,C,21,2,0,2,-8,2,0.1,2,2,0,0,0,0,0,0,25,8.0,,41.7
Tyson Jost,20242025,CAR,L,C,15,2,0,2,3,8,0.13,2,2,0,0,0,0,0,0,16,12.5,,50.0
Fedor Svechkov,20242025,NSH,L,C,9,2,0,2,-1,0,0.22,2,2,0,0,0,0,0,0,9,22.2,,46.2
Marc McLaughlin,20242025,BOS,R,C,10,2,0,2,0,0,0.2,2,2,0,0,0,0,0,0,13,15.4,,40.0
Lian Bichsel,20242025,DAL,L,D,8,2,0,2,2,6,0.25,2,2,0,0,0,0,0,1,4,50.0,,
Nick Blankenburg,20242025,NSH,R,D,14,2,0,2,5,6,0.14,2,2,0,0,0,0,1,1,21,9.5,,
Erik Johnson,20242025,PHI,R,D,15,1,1,2,-2,9,0.13,1,1,0,0,0,1,0,0,5,20.0,,
Luke Schenn,20242025,NSH,R,D,36,1,1,2,-8,27,0.06,1,2,0,0,0,0,0,0,41,2.4,,
Tyson Barrie,20242025,CGY,R,D,9,1,1,2,-2,2,0.22,1,1,0,1,0,0,0,0,12,8.3,,
Michael Sgarbossa,20242025,WSH,L,C,3,1,1,2,2,2,0.67,1,2,0,0,0,0,0,0,1,100.0,,45.0
Curtis Lazar,20242025,NJD,R,C,14,1,1,2,-1,4,0.14,1,2,0,0,0,0,0,0,10,10.0,,49.6
Nicolas Aube-Kubel,20242025,BUF,R,R,16,1,1,2,-2,15,0.13,1,2,0,0,0,0,0,0,16,6.3,,60.0
Sam Lafferty,20242025,BUF,R,C,27,1,1,2,-3,18,0.07,1,2,0,0,0,0,0,0,15,6.7,,42.9
Oliver Kylington,20242025,COL,L,D,8,1,1,2,-2,4,0.25,1,2,0,0,0,0,0,0,2,50.0,,
Will Borgen,20242025,"SEA,NYR",R,D,37,1,1,2,-15,11,0.05,1,2,0,0,0,0,0,0,27,3.7,,
Jordan Harris,20242025,CBJ,L,D,23,1,1,2,-6,6,0.09,1,2,0,0,0,0,0,0,12,8.3,,
Cole Reinhardt,20242025,OTT,L,L,8,1,1,2,-3,2,0.25,1,2,0,0,0,0,0,0,8,12.5,,100.0
Brayden Pachal,20242025,CGY,R,D,36,1,1,2,-4,49,0.06,1,2,0,0,0,0,0,0,33,3.0,,
Valtteri Puustinen,20242025,PIT,R,R,10,1,1,2,-4,4,0.2,0,1,1,1,0,0,0,0,6,16.7,,
Tyler Kleven,20242025,OTT,L,D,36,1,1,2,-1,10,0.06,1,2,0,0,0,0,0,0,33,3.0,,
Gage Goncalves,20242025,TBL,L,C,21,1,1,2,1,4,0.1,1,1,0,1,0,0,0,0,16,6.3,,
Josh Doan,20242025,UTA,R,R,9,1,1,2,-1,6,0.22,1,2,0,0,0,0,0,0,10,10.0,,43.6
Owen Pickering,20242025,PIT,L,D,14,1,1,2,-4,2,0.14,1,2,0,0,0,0,0,0,5,20.0,,
Jack Johnson,20242025,CBJ,L,D,23,0,2,2,-8,2,0.09,0,2,0,0,0,0,0,0,13,0.0,,
Robert Bortuzzo,20242025,UTA,R,D,15,0,2,2,-2,22,0.13,0,2,0,0,0,0,0,0,6,0.0,,
Tyler Johnson,20242025,BOS,R,C,9,0,2,2,-1,10,0.22,0,1,0,1,0,0,0,0,6,0.0,,63.6
Derek Forbort,20242025,VAN,L,D,9,0,2,2,-1,8,0.22,0,2,0,0,0,0,0,0,6,0.0,,
Dylan McIlrath,20242025,WSH,R,D,11,0,2,2,1,14,0.18,0,2,0,0,0,0,0,0,4,0.0,,
Phillip Di Giuseppe,20242025,VAN,L,L,4,0,2,2,1,2,0.5,0,2,0,0,0,0,0,0,3,0.0,,0.0
Zemgus Girgensons,20242025,TBL,L,C,34,0,2,2,-2,22,0.06,0,2,0,0,0,0,0,0,31,0.0,,44.8
Kyle Burroughs,20242025,LAK,R,D,19,0,2,2,3,24,0.11,0,2,0,0,0,0,0,0,3,0.0,,
Ryan Shea,20242025,PIT,L,D,19,0,2,2,-6,6,0.11,0,1,0,1,0,0,0,0,8,0.0,,
Philippe Myers,20242025,TOR,R,D,9,0,2,2,1,0,0.22,0,2,0,0,0,0,0,0,11,0.0,,
Jacob Moverare,20242025,LAK,L,D,18,0,2,2,4,4,0.11,0,2,0,0,0,0,0,0,13,0.0,,
P.O Joseph,20242025,"STL,PIT",L,D,27,0,2,2,-12,23,0.07,0,2,0,0,0,0,0,0,26,0.0,,
Grant Hutton,20242025,NYI,R,D,12,0,2,2,1,4,0.17,0,2,0,0,0,0,0,0,10,0.0,,
Sean Durzi,20242025,UTA,R,D,4,0,2,2,2,7,0.5,0,2,0,0,0,0,0,0,3,0.0,,
John Ludvig,20242025,COL,L,D,8,0,2,2,-4,6,0.25,0,2,0,0,0,0,0,0,9,0.0,,
Andre Lee,20242025,LAK,L,L,18,0,2,2,-6,11,0.11,0,2,0,0,0,0,0,0,16,0.0,,
Artem Zub,20242025,OTT,R,D,11,0,2,2,-7,8,0.18,0,2,0,0,0,0,0,0,13,0.0,,
Nils Aman,20242025,VAN,L,C,5,0,2,2,-3,0,0.4,0,2,0,0,0,0,0,0,2,0.0,,43.5
Samuel Helenius,20242025,LAK,L,C,20,0,2,2,-3,14,0.1,0,2,0,0,0,0,0,0,13,0.0,,46.2
Oliver Kapanen,20242025,MTL,R,C,12,0,2,2,-4,2,0.17,0,1,0,1,0,0,0,0,13,0.0,,46.0
Chris Wagner,20242025,COL,R,R,23,1,0,1,-7,9,0.04,1,1,0,0,0,0,0,0,24,4.2,,46.2
Andreas Englund,20242025,LAK,L,D,8,1,0,1,-1,12,0.13,1,1,0,0,0,0,0,0,4,25.0,,
Jonah Gadjovich,20242025,FLA,L,L,18,1,0,1,-6,10,0.06,1,1,0,0,0,0,0,1,11,9.1,,
Louis Crevier,20242025,CHI,R,D,8,1,0,1,-2,4,0.13,1,1,0,0,0,0,0,0,8,12.5,,
Justin Barron,20242025,"MTL,NSH",R,D,19,1,0,1,-7,8,0.05,1,1,0,0,0,0,0,0,17,5.9,,
Shakir Mukhamadullin,20242025,SJS,L,D,7,1,0,1,2,2,0.14,1,1,0,0,0,0,0,0,9,11.1,,
Isaak Phillips,20242025,CHI,L,D,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,3,33.3,,
Ethan Cardwell,20242025,SJS,R,R,6,1,0,1,-2,2,0.17,1,1,0,0,0,0,0,0,5,20.0,,50.0
Callahan Burke,20242025,VGK,R,C,6,1,0,1,2,2,0.17,1,1,0,0,0,0,0,0,12,8.3,,
Tyson Kozak,20242025,BUF,L,C,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,2,50.0,,53.3
Arshdeep Bains,20242025,VAN,L,L,11,1,0,1,-4,0,0.09,1,1,0,0,0,0,0,1,7,14.3,,75.0
Declan Carlile,20242025,TBL,L,D,1,1,0,1,1,0,1.0,1,1,0,0,0,0,0,0,1,100.0,,
Jonathan Lekkerimaki,20242025,VAN,R,R,5,1,0,1,-4,2,0.2,1,1,0,0,0,0,0,0,7,14.3,,
Lucas Condotta,20242025,MTL,L,L,7,1,0,1,-2,0,0.14,1,1,0,0,0,0,0,0,5,20.0,,58.6
Calum Ritchie,20242025,COL,R,C,7,1,0,1,-7,0,0.14,1,1,0,0,0,0,0,0,11,9.1,,42.9
Ryan Reaves,20242025,TOR,R,R,24,0,1,1,-1,23,0.04,0,1,0,0,0,0,0,0,10,0.0,,0.0
Matt Martin,20242025,NYI,L,L,20,0,1,1,-2,5,0.05,0,1,0,0,0,0,0,0,12,0.0,,42.9
Nicolas Deslauriers,20242025,PHI,L,L,7,0,1,1,0,5,0.14,0,1,0,0,0,0,0,0,4,0.0,,100.0
Kevin Gravel,20242025,NSH,L,D,3,0,1,1,2,0,0.33,0,1,0,0,0,0,0,0,1,0.0,,
T.J. Tynan,20242025,COL,R,C,8,0,1,1,-1,4,0.13,0,1,0,0,0,0,0,0,4,0.0,,38.9
Mathew Dumba,20242025,DAL,R,D,19,0,1,1,-2,19,0.05,0,1,0,0,0,0,0,0,17,0.0,,
Devin Shore,20242025,MIN,L,C,18,0,1,1,0,0,0.06,0,1,0,0,0,0,0,0,14,0.0,,100.0
Chad Ruhwedel,20242025,NYR,R,D,5,0,1,1,2,0,0.2,0,1,0,0,0,0,0,0,1,0.0,,
Jeremy Lauzon,20242025,NSH,L,D,26,0,1,1,-3,26,0.04,0,1,0,0,0,0,0,0,25,0.0,,
Mitchell Stephens,20242025,SEA,R,C,9,0,1,1,-2,0,0.11,0,1,0,0,0,0,0,0,7,0.0,,55.4
Dennis Gilbert,20242025,BUF,L,D,12,0,1,1,-1,27,0.08,0,1,0,0,0,0,0,0,2,0.0,,
Joey Anderson,20242025,CHI,R,R,18,0,1,1,-2,0,0.06,0,1,0,0,0,0,0,0,17,0.0,,60.0
Joshua Mahura,20242025,SEA,L,D,25,0,1,1,-2,10,0.04,0,1,0,0,0,0,0,0,19,0.0,,
Drake Caggiula,20242025,EDM,L,L,7,0,1,1,0,5,0.14,0,1,0,0,0,0,0,0,6,0.0,,100.0
Urho Vaakanainen,20242025,"ANA,NYR",L,D,10,0,1,1,-1,4,0.1,0,1,0,0,0,0,0,0,5,0.0,,
Connor Dewar,20242025,TOR,L,C,19,0,1,1,-2,0,0.05,0,0,0,0,0,1,0,0,21,0.0,,40.7
Jack St. Ivany,20242025,PIT,R,D,19,0,1,1,-3,17,0.05,0,1,0,0,0,0,0,0,12,0.0,,
Noah Philp,20242025,EDM,R,C,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,0,4,0.0,,48.3
Sam Poulin,20242025,PIT,L,R,6,0,1,1,1,2,0.17,0,1,0,0,0,0,0,0,2,0.0,,
Albert Johansson,20242025,DET,L,D,17,0,1,1,-6,2,0.06,0,1,0,0,0,0,0,0,14,0.0,,
Danil Gushchin,20242025,SJS,L,L,10,0,1,1,-2,6,0.1,0,1,0,0,0,0,0,0,13,0.0,,100.0
Helge Grans,20242025,PHI,R,D,6,0,1,1,0,2,0.17,0,1,0,0,0,0,0,0,5,0.0,,
Wyatt Kaiser,20242025,CHI,L,D,28,0,1,1,-4,14,0.04,0,1,0,0,0,0,0,0,32,0.0,,
Walker Duehr,20242025,CGY,R,R,10,0,1,1,-1,0,0.1,0,1,0,0,0,0,0,0,5,0.0,,12.5
Ryan Winterton,20242025,SEA,R,C,8,0,1,1,-7,0,0.13,0,1,0,0,0,0,0,0,8,0.0,,0.0
David Jiricek,20242025,CBJ,R,D,6,0,1,1,-2,4,0.17,0,1,0,0,0,0,0,0,5,0.0,,
Frank Nazar,20242025,CHI,R,C,8,0,1,1,-4,8,0.13,0,1,0,0,0,0,0,0,7,0.0,,35.4
Simon Nemec,20242025,NJD,R,D,9,0,1,1,-2,4,0.11,0,0,0,1,0,0,0,0,9,0.0,,
Georgii Merkulov,20242025,BOS,L,C,3,0,1,1,-1,0,0.33,0,1,0,0,0,0,0,0,4,0.0,,0.0
David Perron,20242025,OTT,R,L,9,0,0,0,-4,0,0.0,0,0,0,0,0,0,0,0,25,0.0,,
Nick Leddy,20242025,STL,L,D,4,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Alexander Petrovic,20242025,DAL,R,D,3,0,0,0,-3,2,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Austin Watson,20242025,DET,R,L,2,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Erik Gudbranson,20242025,CBJ,R,D,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Jani Hakanpää,20242025,TOR,R,D,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Travis Boyd,20242025,MIN,R,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Mike Reilly,20242025,NYI,L,D,11,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,15,0.0,,
Brendan Gaunce,20242025,MIN,L,C,4,0,0,0,-3,4,0.0,0,0,0,0,0,0,0,0,3,0.0,,40.9
Andreas Athanasiou,20242025,CHI,L,C,5,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,6,0.0,,48.7
Matthew Benning,20242025,SJS,R,D,7,0,0,0,-5,4,0.0,0,0,0,0,0,0,0,0,7,0.0,,
Ben Hutton,20242025,VGK,L,D,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,0.0,,
Liam O'Brien,20242025,UTA,L,C,3,0,0,0,-1,5,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Kurtis MacDermid,20242025,NJD,L,L,14,0,0,0,-3,17,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Joshua Brown,20242025,EDM,R,D,3,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Hudson Fasching,20242025,NYI,R,R,16,0,0,0,-5,2,0.0,0,0,0,0,0,0,0,0,5,0.0,,0.0
John Hayden,20242025,SEA,R,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,,,100.0
Ryan Graves,20242025,PIT,L,D,29,0,0,0,-8,13,0.0,0,0,0,0,0,0,0,0,23,0.0,,
Robert Hagg,20242025,VGK,L,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Steven Santini,20242025,TBL,R,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Dakota Mermis,20242025,UTA,L,D,1,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Joel Hanley,20242025,CGY,L,D,11,0,0,0,2,4,0.0,0,0,0,0,0,0,0,0,7,0.0,,
Conor Sheary,20242025,TBL,L,L,4,0,0,0,-2,4,0.0,0,0,0,0,0,0,0,0,3,0.0,,
Patrick Brown,20242025,BOS,R,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,50.0
Sonny Milano,20242025,WSH,L,L,3,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Mark Friedman,20242025,VAN,R,D,3,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,0,3,0.0,,
William Lagesson,20242025,DET,L,D,2,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Travis Dermott,20242025,"EDM,MIN",L,D,12,0,0,0,-4,2,0.0,0,0,0,0,0,0,0,0,6,0.0,,
Parker Wotherspoon,20242025,BOS,L,D,17,0,0,0,-2,4,0.0,0,0,0,0,0,0,0,0,9,0.0,,
Caleb Jones,20242025,LAK,L,D,5,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,6,0.0,,
Noah Juulsen,20242025,VAN,R,D,24,0,0,0,-8,13,0.0,0,0,0,0,0,0,0,0,16,0.0,,
Julien Gauthier,20242025,NYI,R,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Rasmus Asplund,20242025,FLA,L,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,0.0
Riley Tufte,20242025,BOS,L,L,3,0,0,0,-3,4,0.0,0,0,0,0,0,0,0,0,0,,,0.0
Max Jones,20242025,BOS,L,L,4,0,0,0,-4,8,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Givani Smith,20242025,"SJS,COL",L,R,13,0,0,0,-3,18,0.0,0,0,0,0,0,0,0,0,5,0.0,,
Keaton Middleton,20242025,COL,L,D,9,0,0,0,1,7,0.0,0,0,0,0,0,0,0,0,8,0.0,,
Alexander Nylander,20242025,TOR,R,L,5,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,0,4,0.0,,75.0
Michael Pezzetta,20242025,MTL,L,L,3,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,0,1,0.0,,25.0
Tanner Laczynski,20242025,VGK,R,C,5,0,0,0,-1,6,0.0,0,0,0,0,0,0,0,0,1,0.0,,46.2
Nathan Clurman,20242025,PIT,R,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Dylan Coghlan,20242025,WPG,R,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Jeffrey Viel,20242025,BOS,L,L,1,0,0,0,0,7,0.0,0,0,0,0,0,0,0,0,0,,,
Alex Barré-Boulet,20242025,MTL,L,C,2,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,0,,,
Tye Felhaber,20242025,COL,L,L,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Kailer Yamamoto,20242025,UTA,R,R,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,100.0
Cale Fleury,20242025,SEA,R,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Jonas Rondbjerg,20242025,VGK,L,R,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,0.0
Shane Bowers,20242025,NJD,L,C,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,100.0
Olle Lycksell,20242025,PHI,L,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,0.0,,
Ben Jones,20242025,MIN,L,C,18,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,16,0.0,,47.6
Alexander Alexeyev,20242025,WSH,L,D,5,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Patrick Giles,20242025,FLA,R,R,9,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,4,0.0,,29.8
Grigori Denisenko,20242025,VGK,R,L,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,,,0.0
Liam Foudy,20242025,NYI,L,C,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Ty Smith,20242025,CAR,L,D,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Tyler Tucker,20242025,STL,L,D,4,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,0,2,0.0,,
David Gustafsson,20242025,WPG,L,C,5,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,6,0.0,,33.3
Linus Karlsson,20242025,VAN,R,C,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Reese Johnson,20242025,MIN,R,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Corey Schueneman,20242025,STL,L,D,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Mason Morelli,20242025,VGK,L,L,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,
Nolan Foote,20242025,NJD,L,L,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,
Daniil Misyul,20242025,NJD,L,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,
Samuel Bolduc,20242025,NYI,L,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,
Ryan Johnson,20242025,BUF,L,D,3,0,0,0,-2,4,0.0,0,0,0,0,0,0,0,0,3,0.0,,
Ville Heinola,20242025,WPG,L,D,11,0,0,0,5,4,0.0,0,0,0,0,0,0,0,0,6,0.0,,
Nathan Légaré,20242025,NJD,R,R,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,3,0.0,,
Matej Blümel,20242025,DAL,L,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Matt Stienburg,20242025,COL,R,C,8,0,0,0,0,22,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Connor Mackey,20242025,NYR,L,D,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Daemon Hunt,20242025,MIN,L,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,
Vasily Ponomarev,20242025,PIT,L,C,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,4,0.0,,
Sam Colangelo,20242025,ANA,R,R,8,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,10,0.0,,25.0
Brendan Brisson,20242025,VGK,L,C,7,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,7,0.0,,
Matt Rempe,20242025,NYR,R,C,5,0,0,0,0,24,0.0,0,0,0,0,0,0,0,0,1,0.0,,0.0
Chase Bradley,20242025,COL,L,L,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Alex Steeves,20242025,TOR,L,C,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,0.0,,
Mike Hardman,20242025,NJD,L,L,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,0.0
James Malatesta,20242025,CBJ,L,L,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,100.0
Joshua Roy,20242025,MTL,L,R,4,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,3,0.0,,
Fabian Lysell,20242025,BOS,R,R,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,,,
Isak Rosen,20242025,BUF,L,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Michael Milne,20242025,MIN,L,L,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Kevin Korchinski,20242025,CHI,L,D,9,0,0,0,-5,4,0.0,0,0,0,0,0,0,0,0,7,0.0,,
Brad Lambert,20242025,WPG,R,C,4,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,,33.3
Tristan Luneau,20242025,ANA,R,D,6,0,0,0,-5,2,0.0,0,0,0,0,0,0,0,0,6,0.0,,
Denton Mateychuk,20242025,CBJ,L,D,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,,,
