Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Justin Danforth,20242025,CBJ,R,R,25,3,5,8,-7,8,0.32,2,6,0,1,1,1,0,0,49,6.1,,48.2
Pavel Mintyukov,20242025,ANA,L,D,29,3,5,8,-2,6,0.28,3,7,0,1,0,0,0,0,37,8.1,,
TJ Brodie,20242025,CHI,L,D,34,2,6,8,-15,12,0.24,2,8,0,0,0,0,0,0,15,13.3,,
Colin Miller,20242025,WPG,R,D,30,2,6,8,10,20,0.27,2,8,0,0,0,0,0,0,38,5.3,,
Justin Kirkland,20242025,CGY,L,C,21,2,6,8,6,11,0.38,2,8,0,0,0,0,0,0,9,22.2,,42.9
Sean Walker,20242025,CAR,R,D,36,2,6,8,-5,22,0.22,2,8,0,0,0,0,0,0,57,3.5,,
John Beecher,20242025,BOS,L,C,36,2,6,8,2,8,0.22,2,8,0,0,0,0,0,0,21,9.5,,56.6
Kaiden Guhle,20242025,MTL,L,D,30,2,6,8,-1,19,0.27,2,8,0,0,0,0,0,0,33,6.1,,
Tyler Myers,20242025,VAN,R,D,35,1,7,8,-2,29,0.23,1,8,0,0,0,0,0,0,32,3.1,,
Jonas Siegenthaler,20242025,NJD,L,D,39,1,7,8,11,32,0.21,1,8,0,0,0,0,0,0,36,2.8,,
Matt Roy,20242025,WSH,R,D,26,1,7,8,4,10,0.31,1,8,0,0,0,0,0,0,36,2.8,,
Cody Glass,20242025,PIT,R,C,25,1,7,8,-10,4,0.32,1,7,0,1,0,0,0,0,36,2.8,,50.4
Zac Jones,20242025,NYR,L,D,26,1,7,8,2,10,0.31,1,7,0,1,0,0,0,0,24,4.2,,
Uvis Balinskis,20242025,FLA,L,D,34,1,7,8,-7,17,0.24,1,5,0,3,0,0,0,0,47,2.1,,0.0
Erik Cernak,20242025,TBL,R,D,32,0,8,8,12,18,0.25,0,6,0,0,0,2,0,0,23,0.0,,
Ilya Lyubushkin,20242025,DAL,R,D,35,0,8,8,8,10,0.23,0,8,0,0,0,0,0,0,21,0.0,,
Henry Thrun,20242025,SJS,L,D,32,0,8,8,-5,15,0.25,0,8,0,0,0,0,0,0,26,0.0,,
Hendrix Lapierre,20242025,WSH,L,C,27,0,8,8,-3,4,0.3,0,8,0,0,0,0,0,0,18,0.0,,39.6
Emil Lilleberg,20242025,TBL,L,D,31,0,8,8,-1,41,0.26,0,8,0,0,0,0,0,0,18,0.0,,
Kevin Hayes,20242025,PIT,L,R,22,4,3,7,-11,2,0.32,2,3,2,4,0,0,0,1,22,18.2,,59.8
Ryan Hartman,20242025,MIN,R,R,32,4,3,7,-9,30,0.22,3,6,1,1,0,0,0,0,80,5.0,,48.1
Anthony Mantha,20242025,CGY,L,R,13,4,3,7,6,11,0.54,2,5,1,1,1,1,0,1,15,26.7,,33.3
Nathan Walker,20242025,STL,L,L,32,4,3,7,-4,17,0.22,4,6,0,0,0,1,0,0,32,12.5,,45.7
Lawson Crouse,20242025,UTA,L,L,35,4,3,7,-4,22,0.2,3,6,1,1,0,0,0,0,52,7.7,,33.3
Joe Veleno,20242025,DET,L,C,32,4,3,7,-6,11,0.22,4,7,0,0,0,0,0,0,28,14.3,,47.0
Jonatan Berggren,20242025,DET,L,R,34,4,3,7,-6,10,0.21,3,6,1,1,0,0,0,0,47,8.5,,50.0
Trevor Lewis,20242025,LAK,R,C,25,3,4,7,3,8,0.28,3,7,0,0,0,0,0,0,25,12.0,,51.0
Dmitry Kulikov,20242025,FLA,L,D,37,3,4,7,8,28,0.19,3,6,0,1,0,0,0,0,41,7.3,,
