Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Richard Matvichuk,L,D,123,5,19,24,3,128,0.2,4,18,1,6,0,0,0,0,119,4.2,,
Seth Jones,R,D,37,5,19,24,-11,14,0.65,3,11,2,12,0,1,0,1,85,5.9,,
Kjell Samuelsson,R,D,123,4,20,24,27,178,0.2,4,21,0,2,0,1,0,1,104,3.9,,
Janne Niinimaa,L,D,59,3,21,24,-2,60,0.41,1,13,2,11,0,0,0,3,114,2.6,,
Dollard St. Laurent,L,D,92,2,22,24,3,87,0.26,2,22,0,0,0,2,0,0,43,,,
John Druce,R,R,53,17,6,23,-5,38,0.43,6,11,9,10,2,2,1,5,97,17.5,,
Cecil Dillon,L,R,43,14,9,23,0,14,0.53,4,9,0,0,0,0,0,1,,,,
Andrei Kostitsyn,L,L,49,14,9,23,-4,24,0.47,12,17,2,6,0,0,0,1,90,15.6,,25.0
Joe Klukay,L,L,71,13,10,23,0,23,0.32,11,20,0,1,2,2,1,4,,,,
Tony Leswick,R,L,59,13,10,23,0,101,0.39,11,19,2,3,0,1,1,5,,,,
Eddie Johnstone,R,R,55,13,10,23,-3,83,0.42,9,13,2,8,2,2,0,2,75,17.3,,
Steve Bozek,L,L,58,12,11,23,-19,69,0.4,8,15,4,7,0,1,1,1,99,12.1,,
Butch Keeling,L,L,47,12,11,23,0,34,0.49,5,8,0,1,0,0,1,2,,,,
Leo Labine,R,R,60,12,11,23,-1,102,0.38,10,21,1,1,1,1,0,1,29,,,
Floyd Smith,R,R,48,12,11,23,-15,16,0.48,8,12,4,11,0,0,0,1,104,11.5,,
Sergei Makarov,L,R,34,12,11,23,1,8,0.68,9,18,3,5,0,0,0,2,41,29.3,,
German Titov,L,C,34,11,12,23,-1,18,0.68,9,19,1,3,1,1,0,0,61,18.0,,50.0
Patrick Eaves,R,R,83,11,12,23,-4,45,0.28,9,18,2,5,0,0,0,0,137,8.0,,43.3
Kevin Fiala,L,L,43,11,12,23,-12,44,0.53,6,14,5,9,0,0,2,3,124,8.9,,33.3
Brock Boeser,R,R,29,11,12,23,1,18,0.79,8,15,3,8,0,0,0,2,58,19.0,,60.0
Ross Colton,L,C,63,11,12,23,4,31,0.37,9,20,2,3,0,0,0,3,93,11.8,,46.6
Nick Suzuki,R,C,32,11,12,23,-3,2,0.72,8,15,3,8,0,0,1,2,80,13.8,,43.8
Maxim Afinogenov,L,R,49,10,13,23,5,22,0.47,7,17,3,6,0,0,1,2,107,9.4,,25.0
Alexis Lafrenière,L,L,43,10,13,23,-1,17,0.53,10,18,0,5,0,0,0,0,82,12.2,,31.4
Bob Kelly,L,L,101,9,14,23,9,172,0.23,8,22,1,1,0,0,0,2,107,8.4,,
Gilles Tremblay,L,L,48,9,14,23,6,4,0.48,4,14,5,9,0,0,0,3,98,9.2,,
Teppo Numminen,R,D,82,9,14,23,2,28,0.28,4,14,5,9,0,0,0,1,108,8.3,,
Derek Smith,L,C,30,9,14,23,-2,13,0.77,5,12,4,11,0,0,0,1,55,16.4,,
Mike Rathje,L,D,77,9,14,23,-15,51,0.3,2,15,7,8,0,0,0,0,64,14.1,,
Steve Sullivan,R,L,50,9,14,23,-10,30,0.46,5,13,4,10,0,0,0,2,80,11.3,,41.8
Steve Bernier,R,R,74,9,14,23,5,44,0.31,4,17,5,6,0,0,0,3,89,10.1,,40.0
Craig Smith,R,C,83,9,14,23,-10,20,0.28,8,21,1,2,0,0,2,4,197,4.6,,38.1
Tanner Pearson,L,L,51,9,14,23,4,14,0.45,8,21,1,2,0,0,1,1,104,8.7,,33.3
Tom Johnson,L,D,111,8,15,23,4,112,0.21,6,17,1,5,1,1,0,2,34,,,
Donnie Marshall,L,L,94,8,15,23,-9,12,0.24,6,18,0,3,2,2,1,2,77,,,
Martin Erat,L,R,50,8,15,23,-6,40,0.46,5,16,3,7,0,0,0,0,75,10.7,,32.7
Bill Flett,R,R,53,7,16,23,-1,42,0.43,5,17,1,5,1,1,0,2,114,6.1,,
Doug Jarrett,L,D,99,7,16,23,-3,82,0.23,6,22,1,1,0,0,0,0,136,5.2,,
Kevin Haller,L,D,64,7,16,23,1,71,0.36,5,12,1,9,1,2,1,1,84,8.3,,
Conor Sheary,L,L,72,7,16,23,-11,18,0.32,7,20,0,3,0,0,1,1,124,5.7,,42.9
Joe Primeau,L,C,38,5,18,23,0,12,0.61,3,8,2,8,0,0,0,0,,,,
Tim Connolly,R,C,36,5,18,23,5,8,0.64,3,14,1,7,1,2,0,1,64,7.8,,47.1
Dmitry Yushkevich,R,D,72,4,19,23,13,52,0.32,3,14,1,8,0,1,0,1,90,4.4,,
Craig Rivet,R,D,69,4,19,23,-1,69,0.33,2,13,2,10,0,0,0,1,96,4.2,,
Brian Benning,L,D,48,3,20,23,-16,70,0.48,0,9,3,14,0,0,0,0,73,4.1,,
Barclay Plager,L,D,68,3,20,23,-10,182,0.34,1,8,1,14,1,1,0,1,102,2.9,,
Ted Harris,L,D,100,1,22,23,15,230,0.23,1,19,0,4,0,0,0,0,90,1.1,,
Wyatt Johnston,R,C,38,14,8,22,0,6,0.58,11,17,2,4,1,1,1,4,112,12.5,,44.5
Howie Morenz,L,C,39,13,9,22,0,58,0.56,0,1,0,0,1,1,2,3,,,,
Jerry Toppazzini,R,R,40,13,9,22,0,15,0.55,8,14,3,5,2,3,1,1,,,,
Dave Barr,R,R,71,12,10,22,-5,70,0.31,8,15,4,7,0,0,0,1,78,15.4,,
Jim Lorentz,L,C,55,12,10,22,-7,30,0.4,12,18,0,4,0,0,0,2,95,12.6,,
Cooney Weiland,L,C,45,12,10,22,0,14,0.49,3,5,0,0,0,0,1,3,,,,
Mikael Backlund,L,C,42,12,10,22,-5,32,0.52,8,14,2,6,2,2,1,2,121,9.9,,48.7
Jesperi Kotkaniemi,L,C,69,12,10,22,-12,51,0.32,10,19,2,3,0,0,1,2,96,12.5,,46.7
Lowell MacDonald,R,L,31,11,11,22,6,12,0.71,7,14,3,7,1,1,0,4,83,13.3,,
Andre Pronovost,L,L,70,11,11,22,5,60,0.31,10,19,0,2,1,1,1,1,50,,,
Paul Thompson,L,L,48,11,11,22,0,50,0.46,8,16,0,1,0,0,2,3,,,,
Gilbert Dionne,L,L,39,10,12,22,-2,34,0.56,8,17,2,5,0,0,1,2,85,11.8,,
Joey Kocur,R,R,118,10,12,22,-7,231,0.19,9,21,1,1,0,0,0,2,90,11.1,,50.0
Ron Wilson,L,C,63,10,12,22,0,64,0.35,8,15,2,5,0,2,0,1,96,10.4,,
Sean Couturier,L,C,39,10,12,22,1,26,0.56,10,18,0,4,0,0,0,2,67,14.9,,53.3
Sean Monahan,L,C,35,10,12,22,-7,4,0.63,4,8,6,14,0,0,0,1,81,12.4,,50.2
Anatoli Semenov,L,C,49,9,13,22,11,12,0.45,9,17,0,5,0,0,0,0,65,13.9,,
Marco Sturm,L,L,68,9,13,22,-7,30,0.32,7,18,1,3,1,1,0,2,132,6.8,,47.6
Ryan Malone,L,L,43,9,13,22,-3,49,0.51,5,13,4,9,0,0,0,3,83,10.8,,43.2
Troy Loney,L,L,67,8,14,22,4,97,0.33,8,22,0,0,0,0,0,0,89,9.0,,
Ulf Nilsson,R,C,25,8,14,22,3,27,0.88,5,15,3,6,0,1,0,1,45,17.8,,
Dan McGillis,L,D,64,8,14,22,-1,76,0.34,3,13,4,8,1,1,0,1,151,5.3,,
Greg De Vries,L,D,111,8,14,22,7,91,0.2,8,22,0,0,0,0,0,2,117,6.8,,
Marc Savard,L,C,25,8,14,22,3,22,0.88,5,14,3,8,0,0,2,4,53,15.1,,51.8
Wayne Simmonds,R,R,53,8,14,22,-9,122,0.42,4,15,4,7,0,0,0,0,100,8.0,,18.2
Tommy Albelin,L,D,81,7,15,22,8,22,0.27,5,14,2,8,0,0,0,2,85,8.2,,
Nelson Emerson,R,R,40,7,15,22,5,33,0.55,5,12,2,10,0,0,0,0,99,7.1,,33.3
Matthew Barnaby,L,R,62,7,15,22,5,170,0.35,4,17,3,5,0,0,0,1,68,10.3,,50.0
Curt Giles,L,D,103,6,16,22,-15,118,0.21,2,13,4,9,0,0,0,0,127,4.7,,
Bill McCreary Sr.,L,L,48,6,16,22,9,14,0.46,3,17,1,3,2,2,1,3,97,6.2,,
Randy Moller,R,D,78,6,16,22,6,199,0.28,5,15,1,7,0,0,0,1,117,5.1,,
Dave Tippett,L,L,62,6,16,22,-6,34,0.35,5,20,0,0,1,2,0,0,92,6.5,,
Joel Edmundson,L,D,82,6,16,22,6,50,0.27,6,21,0,0,0,1,1,1,92,6.5,,
Bob Davidson,L,L,81,5,17,22,0,79,0.27,4,19,1,3,0,0,0,1,,,,
Ken Daneyko,L,D,175,5,17,22,19,296,0.13,5,18,0,2,0,2,0,1,101,5.0,,100.0
Marian Stastny,L,R,32,5,17,22,-3,7,0.69,4,14,1,8,0,0,0,1,50,10.0,,
TJ Brodie,L,D,56,5,17,22,6,36,0.39,5,17,0,3,0,2,0,0,63,7.9,,
Brayden McNabb,L,D,93,5,17,22,18,54,0.24,5,21,0,0,0,1,0,2,92,5.4,,
Calle Jarnkrok,R,C,93,5,17,22,-14,10,0.24,5,19,0,3,0,0,0,1,107,4.7,,48.3
Esa Lindell,L,D,85,5,17,22,-16,18,0.26,5,20,0,2,0,0,0,1,124,4.0,,
Bob Murdoch,L,D,72,4,18,22,-9,92,0.31,3,15,1,7,0,0,0,1,105,3.8,,
Rich Preston,R,R,47,4,18,22,9,56,0.47,4,18,0,3,0,1,1,1,76,5.3,,
Keith Carney,L,D,91,3,19,22,4,67,0.24,3,16,0,5,0,1,1,1,71,4.2,,
Darcy Rota,L,L,60,14,7,21,7,147,0.35,10,16,4,5,0,0,0,1,111,12.6,,
Bo Horvat,L,C,34,13,8,21,1,6,0.62,8,16,3,3,2,2,1,2,86,15.1,,57.2
Bronco Horvath,L,C,36,12,9,21,-2,18,0.58,8,14,4,7,0,0,0,4,33,,,
Pat Conacher,L,L,67,11,10,21,13,40,0.31,9,16,0,1,2,4,0,1,56,19.6,,
Paul Di Pietro,R,C,31,11,10,21,-4,10,0.68,9,17,2,4,0,0,0,2,59,18.6,,
Chris Higgins,L,L,62,11,10,21,-7,10,0.34,9,15,2,6,0,0,0,4,129,8.5,,40.2
Travis Green,R,C,56,10,11,21,-4,60,0.38,9,18,0,2,1,1,1,3,103,9.7,,56.3
Darcy Tucker,L,R,68,10,11,21,-6,81,0.31,7,17,3,4,0,0,0,3,112,8.9,,35.3
Anders Lee,L,L,46,10,11,21,-3,48,0.46,6,13,4,8,0,0,0,0,131,7.6,,50.0
Aurel Joliat,L,L,45,9,12,21,0,72,0.47,1,4,0,0,0,0,0,1,,,,
Tod Sloan,R,C,47,9,12,21,2,67,0.45,7,16,2,5,0,0,0,0,19,,,
Nels Stewart,L,C,50,9,12,21,0,47,0.42,3,5,0,4,0,0,0,1,,,,
Jean-Francois Sauve,L,C,36,9,12,21,-3,10,0.58,4,11,5,10,0,0,0,1,49,18.4,,
Steve Konowalchuk,L,L,52,9,12,21,-6,60,0.4,1,12,6,7,2,2,0,1,78,11.5,,56.4
Rich Peverley,R,C,59,9,12,21,-2,33,0.36,8,19,1,2,0,0,0,2,98,9.2,,55.7
Jay Beagle,R,C,102,9,12,21,0,36,0.21,8,19,1,1,0,1,0,2,90,10.0,,57.6
Laurie Boschman,L,C,57,8,13,21,-22,150,0.37,5,13,2,6,1,2,0,1,83,9.6,,
Ken Smith,L,L,30,8,13,21,0,6,0.7,8,18,0,3,0,0,0,0,,,,
Warren Rychel,L,L,70,8,13,21,2,121,0.3,7,17,1,4,0,0,0,3,66,12.1,,40.0
Nate Thompson,L,C,86,8,13,21,10,34,0.24,8,20,0,1,0,0,0,3,78,10.3,,55.7
Matt Nieto,L,L,62,8,13,21,11,18,0.34,6,19,0,0,2,2,0,0,79,10.1,,14.3
Larry Regan,R,R,42,7,14,21,0,16,0.5,5,12,2,8,0,1,0,1,25,,,
Wayne Primeau,L,C,90,7,14,21,-13,42,0.23,6,16,1,4,0,1,0,0,92,7.6,,45.8
Ales Hemsky,R,R,43,7,14,21,-9,16,0.49,2,9,5,12,0,0,0,2,95,7.4,,14.3
Dion Phaneuf,L,D,55,7,14,21,-22,49,0.38,4,10,3,11,0,0,1,1,107,6.5,,
Alex Goligoski,L,D,47,7,14,21,-4,20,0.45,6,12,1,9,0,0,0,1,68,10.3,,
Kelly Kisio,R,C,39,6,15,21,-2,52,0.54,4,13,1,6,1,2,0,0,57,10.5,,
Doug Lidster,R,D,80,6,15,21,-5,64,0.26,5,16,1,4,0,1,0,0,78,7.7,,
Igor Kravchuk,L,D,51,6,15,21,-15,18,0.41,5,11,1,10,0,0,1,1,123,4.9,,
Adrian Aucoin,R,D,62,6,15,21,-10,44,0.34,3,10,3,11,0,0,0,0,93,6.5,,
Mark Hardy,L,D,67,5,16,21,-9,158,0.31,4,12,1,9,0,0,0,0,74,6.8,,
Bates Battaglia,L,L,42,5,16,21,3,28,0.5,4,17,1,4,0,0,1,1,71,7.0,,12.5
Jonathan Ericsson,L,D,76,5,16,21,9,55,0.28,5,19,0,1,0,1,0,1,88,5.7,,
Jack Johnson,L,D,57,5,16,21,-13,30,0.37,3,10,2,10,0,1,0,1,71,7.0,,
Jonathan Huberdeau,L,C,26,5,16,21,-1,20,0.81,4,14,1,7,0,0,0,0,89,5.6,,38.5
Brett Pesce,R,D,57,5,16,21,2,22,0.37,5,20,0,0,0,1,0,0,112,4.5,,0.0
Jocelyn Guevremont,R,D,40,4,17,21,22,18,0.53,3,14,1,7,0,0,0,0,124,3.2,,
Rick Kehoe,R,R,39,4,17,21,-14,4,0.54,2,12,2,9,0,0,1,2,94,4.3,,
Derek King,L,L,47,4,17,21,-1,24,0.45,4,17,0,4,0,0,0,1,93,4.3,,
Tom Laidlaw,L,D,69,4,17,21,-20,78,0.3,4,19,0,1,0,1,0,1,45,8.9,,
Darnell Nurse,L,D,72,4,17,21,-9,73,0.29,3,17,0,2,1,2,0,0,129,3.1,,
Dan Hamhuis,L,D,68,3,18,21,-9,54,0.31,1,14,2,7,0,0,0,0,89,3.4,,
Dennis Seidenberg,L,D,69,3,18,21,10,53,0.3,3,17,0,3,0,1,0,0,130,2.3,,
Bill Quackenbush,L,D,80,2,19,21,0,8,0.26,2,16,0,5,0,0,0,0,,,,
Tyson Barrie,R,D,47,2,19,21,1,18,0.45,2,11,0,10,0,0,0,1,95,2.1,,
Dave Lewis,L,D,91,1,20,21,-5,143,0.23,1,21,0,0,0,0,0,0,92,1.1,,
Scott Hannan,L,D,100,1,20,21,15,93,0.21,0,17,1,4,0,0,0,1,110,0.9,,
R.J. Umberger,L,C,30,14,6,20,2,14,0.67,11,15,3,5,0,0,0,2,58,24.1,,46.2
Cal Clutterbuck,R,R,81,12,8,20,1,100,0.25,12,20,0,0,0,0,0,0,102,11.8,,25.0
Hooley Smith,R,C,54,11,9,20,0,109,0.37,3,8,0,0,0,0,0,1,,,,
Jean Pronovost,R,R,35,11,9,20,4,14,0.57,7,14,3,5,1,1,0,1,94,11.7,,
Mike Hoffman,L,C,33,11,9,20,-2,20,0.61,8,14,3,6,0,0,0,2,83,13.3,,25.0
Adam Lowry,L,C,49,11,9,20,-7,21,0.41,8,17,2,2,1,1,0,0,68,16.2,,52.1
Gerry Ehman,R,R,41,10,10,20,-12,14,0.49,8,16,2,4,0,0,1,2,51,,,
Steve Reinprecht,L,C,50,10,10,20,8,10,0.4,10,20,0,0,0,0,0,2,52,19.2,,51.0
Oliver Bjorkstrand,R,R,45,10,10,20,-13,0,0.44,8,17,2,3,0,0,0,4,100,10.0,,31.6
Michal Grosek,R,L,45,9,11,20,8,77,0.44,7,14,2,6,0,0,1,3,81,11.1,,46.9
Teddy Purcell,R,L,28,9,11,20,-1,2,0.71,6,14,3,6,0,0,0,1,67,13.4,,18.2
Adam Henrique,L,C,45,9,11,20,13,13,0.44,9,17,0,2,0,1,2,5,63,14.3,,45.2
Radek Faksa,L,C,79,9,11,20,-7,28,0.25,6,15,3,5,0,0,0,4,90,10.0,,51.3
Billy Harris,L,C,62,8,12,20,-1,30,0.32,7,16,1,4,0,0,0,1,30,,,
Art Jackson,L,C,52,8,12,20,0,25,0.38,6,15,2,4,0,1,0,0,,,,
Murray Murdoch,L,L,55,8,12,20,0,28,0.36,1,4,0,0,0,0,0,3,,,,
Dave Schultz,L,L,73,8,12,20,11,412,0.27,7,19,1,1,0,0,1,1,59,13.6,,
Andre St. Laurent,R,C,59,8,12,20,-19,48,0.34,6,17,1,2,1,1,0,2,112,7.1,,
Ville Nieminen,L,L,58,8,12,20,-2,99,0.34,4,14,4,6,0,0,0,1,98,8.2,,25.0
Mason Raymond,L,L,63,8,12,20,-8,14,0.32,8,17,0,3,0,0,0,1,131,6.1,,50.0
Eddie Shore,R,D,55,7,13,20,0,185,0.36,0,8,1,2,0,0,1,3,,,,
Marc Staal,L,D,128,7,13,20,-17,52,0.16,4,16,2,2,1,2,1,2,126,5.6,,
Casey Cizikas,L,C,80,7,13,20,-8,74,0.25,7,20,0,0,0,0,1,1,101,6.9,,52.1
Phillip Danault,L,C,56,7,13,20,6,32,0.36,4,16,2,3,1,1,0,1,110,6.4,,52.9
Dutch Reibel,R,C,39,6,14,20,0,4,0.51,4,13,2,7,0,0,0,2,,,,
Robert Picard,L,D,36,5,15,20,-12,39,0.56,3,9,2,11,0,0,0,0,86,5.8,,
John Van Boxmeer,R,D,38,5,15,20,-14,37,0.53,2,8,3,12,0,0,0,2,111,4.5,,
Ron Schock,L,C,55,4,16,20,-8,29,0.36,4,17,0,2,0,1,1,1,114,3.5,,
Kyle Wellwood,R,C,40,4,16,20,4,0,0.5,3,14,1,6,0,0,0,0,43,9.3,,54.3
Aaron Ekblad,R,D,64,4,16,20,11,49,0.31,3,15,1,4,0,1,0,0,106,3.8,,0.0
Carl Brewer,L,D,72,3,17,20,25,144,0.28,3,16,0,4,0,0,0,0,98,,,
Kris Russell,L,D,60,3,17,20,-4,24,0.33,2,11,1,9,0,0,0,1,60,5.0,,
Erik Cernak,R,D,79,2,18,20,13,44,0.25,2,20,0,0,0,0,0,1,100,2.0,,
Newsy Lalonde,R,C,7,15,4,19,0,32,2.71,,,,,,,0,2,,,,
Fernando Pisani,L,R,33,15,4,19,1,12,0.58,11,14,3,4,1,1,1,5,60,25.0,,25.0
Mel Hill,R,R,44,12,7,19,0,25,0.43,12,16,0,3,0,0,3,4,,,,
Bobby Bauer,R,R,48,11,8,19,0,6,0.4,9,16,2,3,0,0,0,2,,,,
Eddie Joyal,L,C,50,11,8,19,-10,18,0.38,5,9,6,10,0,0,0,2,119,9.2,,
Earl Seibert,R,D,66,11,8,19,0,78,0.29,7,10,2,5,0,0,0,2,,,,
Arron Asham,R,R,72,11,8,19,0,56,0.26,11,19,0,0,0,0,0,2,75,14.7,,45.5
Travis Moen,L,L,83,11,8,19,-3,61,0.23,10,16,0,1,1,2,1,4,94,11.7,,37.5
Rickard Rakell,R,R,48,11,8,19,1,2,0.4,9,15,2,4,0,0,1,1,100,11.0,,50.8
Adrian Kempe,L,R,22,11,8,19,-11,8,0.86,9,13,2,6,0,0,1,1,91,12.1,,35.1
Lorne Carr,R,R,53,10,9,19,0,17,0.36,7,14,3,5,0,0,1,1,,,,
Johan Garpenlov,L,L,44,10,9,19,-3,22,0.43,8,16,2,3,0,0,0,3,71,14.1,,
Jim McFadden,L,C,49,10,9,19,0,30,0.39,10,16,0,2,0,1,0,0,,,,
Ken Houston,R,R,35,10,9,19,-7,66,0.54,5,11,5,8,0,0,0,1,63,15.9,,
Eddie Wiseman,R,R,43,10,9,19,0,16,0.44,10,17,0,2,0,0,0,1,,,,
Austin Watson,R,L,45,10,9,19,4,48,0.42,10,19,0,0,0,0,0,0,73,13.7,,33.3
George Allen,L,L,41,9,10,19,0,32,0.46,8,14,1,5,0,0,0,0,,,,
Murray Balfour,R,R,40,9,10,19,-1,47,0.48,8,15,1,4,0,0,2,2,63,,,
Mac Colville,R,R,40,9,10,19,0,14,0.48,5,13,2,4,2,2,0,0,,,,
Ray Getliffe,L,C,45,9,10,19,0,30,0.42,8,16,1,2,0,1,0,2,,,,
Dana Murzyn,L,D,82,9,10,19,4,166,0.23,7,15,1,1,1,3,0,1,116,7.8,,
Don Sweeney,L,D,108,9,10,19,-29,81,0.18,7,15,2,2,0,2,1,1,131,6.9,,
Geoff Sanderson,L,L,55,9,10,19,3,32,0.35,8,16,1,3,0,0,1,2,110,8.2,,100.0
Ziggy Palffy,L,R,24,9,10,19,4,8,0.79,9,17,0,2,0,0,0,0,68,13.2,,100.0
Chris Neil,R,R,95,9,10,19,1,204,0.2,8,16,1,3,0,0,1,1,97,9.3,,40.0
Daniel Paille,L,L,75,9,10,19,2,10,0.25,7,17,0,0,2,2,1,3,87,10.3,,70.0
Sean Kuraly,L,C,57,9,10,19,2,24,0.33,8,18,0,0,1,1,1,4,105,8.6,,48.1
Al Hill,L,L,51,8,11,19,1,43,0.37,7,16,1,3,0,0,0,1,63,12.7,,
Bob MacMillan,L,R,31,8,11,19,-5,16,0.61,6,14,2,5,0,0,0,1,70,11.4,,
Mike Eastwood,R,C,97,8,11,19,-9,64,0.2,7,18,1,1,0,0,0,2,81,9.9,,53.3
Jonas Hoglund,R,R,59,8,11,19,-5,8,0.32,5,10,3,9,0,0,0,1,90,8.9,,0.0
Cody Eakin,L,C,50,8,11,19,-2,33,0.38,7,18,1,1,0,0,1,3,62,12.9,,52.5
Alexander Wennberg,L,C,58,8,11,19,-7,10,0.33,7,17,1,2,0,0,1,2,55,14.6,,42.9
Nikita Zadorov,L,D,58,8,11,19,6,124,0.33,8,19,0,0,0,0,0,0,78,10.3,,
Tie Domi,R,R,98,7,12,19,-2,238,0.19,7,18,0,1,0,0,0,2,93,7.5,,75.0
Tom Fitzgerald,R,R,78,7,12,19,-2,90,0.24,5,15,0,0,2,4,0,2,100,7.0,,51.4
Alyn McCauley,L,C,52,7,12,19,-5,18,0.37,6,11,1,8,0,0,0,2,69,10.1,,45.7
Jannik Hansen,R,R,70,7,12,19,8,42,0.27,7,18,0,1,0,0,0,0,113,6.2,,44.1
Michael Frolik,L,R,47,7,12,19,0,12,0.4,6,17,0,0,1,2,0,1,97,7.2,,37.3
George Gee,L,C,41,6,13,19,0,32,0.46,3,13,3,6,0,0,0,1,,,,
Gord Kluzak,L,D,46,6,13,19,-3,129,0.41,4,12,1,5,1,2,0,1,72,8.3,,
Alexei Zhamnov,L,C,35,6,13,19,-6,18,0.54,5,13,1,6,0,0,0,1,69,8.7,,48.2
Sean O'Donnell,L,D,106,6,13,19,17,129,0.18,6,16,0,1,0,2,1,1,60,10.0,,100.0
Jack Stewart,L,D,80,5,14,19,0,143,0.24,5,18,0,1,0,0,0,0,,,,
Murray Wilson,--,L,53,5,14,19,-1,32,0.36,5,18,0,1,0,0,0,1,68,7.4,,
Vladimir Konstantinov,R,D,82,5,14,19,16,107,0.23,4,14,0,4,1,1,1,1,114,4.4,,
Ryan Strome,R,C,37,5,14,19,-1,21,0.51,4,15,1,4,0,0,0,3,80,6.3,,42.8
Alexei Ponikarovsky,L,L,62,4,15,19,8,28,0.31,4,17,0,2,0,0,1,2,81,4.9,,54.6
Kevin Klein,R,D,73,4,15,19,5,27,0.26,4,18,0,0,0,1,0,1,75,5.3,,
Cody Ceci,R,D,88,4,15,19,-16,20,0.22,3,18,0,0,1,1,0,1,107,3.7,,
Jacob Trouba,R,D,73,4,15,19,0,76,0.26,3,16,0,1,1,2,0,1,157,2.6,,
Jeff Beukeboom,R,D,99,3,16,19,17,197,0.19,3,19,0,0,0,0,0,0,82,3.7,,
Rick Green,L,D,100,3,16,19,-5,73,0.19,3,16,0,3,0,0,0,0,55,5.5,,
Gord Murphy,R,D,53,3,16,19,0,35,0.36,2,7,1,12,0,0,0,1,131,2.3,,
Bob Plager,L,D,74,2,17,19,-24,195,0.26,2,17,0,2,0,0,0,0,98,2.0,,
Dave Langevin,L,D,86,2,17,19,25,106,0.22,2,19,0,0,0,0,0,1,75,2.7,,
Tom Poti,L,D,51,2,17,19,8,29,0.37,1,10,1,7,0,2,0,0,62,3.2,,
Brett Kulak,L,D,76,2,17,19,5,39,0.25,2,18,0,0,0,1,0,0,88,2.3,,
Cy Denneny,L,L,25,16,2,18,0,19,0.72,,,,,,,0,4,,,,
Fred Cook,L,L,46,15,3,18,0,59,0.39,2,2,0,0,0,0,1,1,,,,
Rich Sutter,R,R,78,13,5,18,-13,133,0.23,12,17,0,0,1,1,0,2,112,11.6,,
Wayne Connelly,R,C,24,11,7,18,-9,4,0.75,6,9,5,9,0,0,0,1,98,11.2,,
Mike Sillinger,R,C,43,11,7,18,-1,28,0.42,8,14,2,3,1,1,0,0,61,18.0,,61.5
Pat Falloon,R,R,66,11,7,18,-11,16,0.27,8,14,3,4,0,0,0,0,121,9.1,,42.9
Don Murdoch,R,R,24,10,8,18,2,16,0.75,7,14,3,4,0,0,1,2,67,14.9,,
Bob Brooke,R,R,34,9,9,18,3,59,0.53,7,14,0,2,2,2,1,2,55,16.4,,
Charlie Simmer,L,L,24,9,9,18,0,32,0.75,7,12,2,6,0,0,0,1,43,20.9,,
Andrew Ladd,L,L,65,9,9,18,2,48,0.28,9,18,0,0,0,0,1,2,112,8.0,,16.7
Brandon Sutter,R,C,50,9,9,18,3,8,0.36,7,14,1,2,1,2,0,1,84,10.7,,52.5
Jason Zucker,L,L,52,9,9,18,-9,12,0.35,8,16,1,2,0,0,1,2,113,8.0,,33.3
Terry Reardon,R,C,30,8,10,18,0,12,0.6,8,17,0,1,0,0,1,1,,,,
Larry Patey,L,C,40,8,10,18,-2,57,0.45,6,16,1,1,1,1,0,1,61,13.1,,
Ted Donato,L,L,58,8,10,18,-14,22,0.31,5,9,3,9,0,0,1,2,73,11.0,,36.4
Karl Dykhuis,L,D,62,8,10,18,12,50,0.29,5,12,3,5,0,1,1,2,73,11.0,,
Radim Vrbata,R,R,42,8,10,18,-17,12,0.43,4,10,4,8,0,0,0,1,118,6.8,,28.6
Glen Sharpley,L,C,27,7,11,18,1,24,0.67,7,15,0,3,0,0,0,0,34,20.6,,
Mark Tinordi,L,D,70,7,11,18,-8,165,0.26,3,8,4,9,0,1,0,0,107,6.5,,
Bryce Salvador,L,D,74,7,11,18,-2,64,0.24,6,16,0,1,1,1,1,2,67,10.5,,
Evgenii Dadonov,L,R,39,7,11,18,6,6,0.46,7,15,0,3,0,0,0,1,62,11.3,,
Billy Carroll,L,C,71,6,12,18,20,18,0.25,2,11,0,0,4,7,0,1,38,15.8,,
Camille Henry,L,C,46,6,12,18,0,7,0.39,2,11,4,7,0,0,0,0,26,,,
Grant Ledyard,L,D,83,6,12,18,-17,96,0.22,6,13,0,5,0,0,0,1,134,4.5,,0.0
Risto Siltanen,R,D,32,6,12,18,-6,30,0.56,2,7,4,11,0,0,0,1,76,7.9,,
Turner Stevenson,R,R,67,6,12,18,4,66,0.27,6,18,0,0,0,0,0,1,81,7.4,,0.0
Trevor Daley,L,D,71,6,12,18,7,74,0.25,5,13,1,5,0,0,0,0,112,5.4,,
Alexander Kerfoot,L,C,48,6,12,18,3,22,0.38,4,14,1,2,1,2,1,1,65,9.2,,42.6
Ed Litzenberger,R,C,40,5,13,18,6,32,0.45,4,11,1,6,0,1,0,2,36,,,
Calum MacKay,L,L,38,5,13,18,0,20,0.47,5,17,0,1,0,0,0,1,,,,
Lyle Odelein,L,D,86,5,13,18,-3,209,0.21,2,12,2,5,1,1,0,1,97,5.2,,
Joe Corvo,R,D,50,5,13,18,-2,14,0.36,3,11,2,7,0,0,1,2,131,3.8,,
