Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Lars Eller,L,C,103,15,34,49,0,58,0.48,12,41,1,5,2,3,1,4,187,8.0,,50.0
Wade Redden,L,D,106,13,36,49,-13,55,0.46,5,19,8,29,0,1,1,4,170,7.7,,
Borje Salming,L,D,81,12,37,49,-11,91,0.6,7,22,5,27,0,0,0,1,220,5.5,,
Pat Stapleton,L,D,65,10,39,49,4,40,0.75,3,24,5,20,2,5,0,0,145,6.9,,
Petr Svoboda,L,D,127,4,45,49,18,135,0.39,3,31,0,17,1,1,0,0,141,2.8,,
Vic Hadfield,L,L,74,27,21,48,4,117,0.65,22,37,4,10,1,1,0,3,208,13.0,,
Auston Matthews,L,C,55,23,25,48,2,11,0.87,18,34,5,14,0,0,1,6,235,9.8,,53.6
Dave Gagner,L,C,57,22,26,48,-18,64,0.84,8,18,13,29,1,1,0,1,175,12.6,,
Dan Quinn,L,C,65,22,26,48,-13,62,0.74,8,18,13,29,1,1,0,4,137,16.1,,
Donald Audette,R,R,73,21,27,48,-14,46,0.66,12,29,9,19,0,0,1,4,161,13.0,,0.0
Steve Kasper,L,C,94,20,28,48,-9,82,0.51,15,38,1,5,4,5,0,0,129,15.5,,
Cliff Koroll,R,R,85,19,29,48,-19,67,0.56,12,30,7,17,0,1,0,1,144,13.2,,
Nick Bonino,L,C,105,19,29,48,6,45,0.46,16,40,3,7,0,1,3,6,177,10.7,,50.0
Kris Versteeg,R,R,93,18,30,48,-3,70,0.52,12,32,6,16,0,0,0,3,177,10.2,,41.6
Craig Ramsay,L,L,89,17,31,48,5,27,0.54,13,42,2,4,2,2,1,4,115,14.8,,
Bob Probert,L,L,81,16,32,48,5,274,0.59,9,33,7,15,0,0,0,3,115,13.9,,
Rejean Houle,L,L,90,14,34,48,17,66,0.53,13,42,1,5,0,1,0,1,141,9.9,,
Mike McEwen,R,D,78,12,36,48,0,48,0.62,3,25,9,23,0,0,0,1,193,6.2,,
Kevin Shattenkirk,R,D,91,8,40,48,-8,47,0.53,6,30,2,17,0,1,2,3,194,4.1,,
Charlie McAvoy,R,D,91,6,42,48,-5,84,0.53,4,23,2,23,0,2,0,2,146,4.1,,
Jake DeBrusk,L,L,86,27,20,47,-16,36,0.55,17,28,9,17,1,2,0,3,172,15.7,,16.1
Tony McKegney,L,L,79,24,23,47,-20,56,0.59,19,30,5,17,0,0,0,4,209,11.5,,
Andre Burakovsky,L,L,93,20,27,47,14,22,0.51,19,41,1,6,0,0,1,3,124,16.1,,38.9
Bruce MacGregor,R,C,107,19,28,47,-2,44,0.44,16,40,2,5,1,2,0,4,176,10.8,,
Scott Hartnell,L,L,99,19,28,47,-13,146,0.47,11,29,8,18,0,0,0,1,164,11.6,,31.4
Jordan Eberle,R,R,76,19,28,47,4,24,0.62,13,31,6,16,0,0,2,4,177,10.7,,46.6
Don McKenney,L,C,58,18,29,47,-1,12,0.81,13,34,5,13,0,0,0,2,46,,,
Sergei Samsonov,R,L,76,18,29,47,7,20,0.62,17,32,1,15,0,0,0,1,156,11.5,,0.0
John McKenzie,R,R,69,15,32,47,26,133,0.68,10,30,5,17,0,0,0,4,115,,,
Reijo Ruotsalainen,R,D,86,15,32,47,16,44,0.55,8,26,7,21,0,0,0,4,229,6.6,,
Jason Woolley,L,D,79,11,36,47,9,44,0.59,7,21,4,26,0,0,1,5,139,7.9,,
Niklas Kronwall,L,D,109,5,42,47,25,89,0.43,1,22,4,25,0,0,0,0,134,3.7,,
Danny Gare,R,R,64,25,21,46,6,195,0.72,17,32,8,14,0,0,3,5,182,13.7,,
Kris Draper,L,C,222,24,22,46,15,160,0.21,20,38,0,0,4,8,1,3,310,7.7,,56.2
Willi Plett,R,R,83,24,22,46,-4,466,0.55,14,32,10,14,0,0,1,4,136,17.7,,
Doug Brown,R,R,109,23,23,46,19,26,0.42,15,32,4,7,4,7,1,4,162,14.2,,60.0
John Tavares,L,C,62,23,23,46,-14,20,0.74,18,32,5,14,0,0,3,5,204,11.3,,54.6
Anders Hedberg,L,R,58,22,24,46,16,31,0.79,17,30,4,12,1,4,0,2,144,15.3,,
Ross Lonsberry,L,L,100,21,25,46,-13,87,0.46,16,37,4,8,1,1,0,6,207,10.1,,
Tyler Toffoli,R,C,93,20,26,46,-13,24,0.49,15,30,4,15,1,1,1,4,211,9.5,,53.6
Brenden Morrow,L,L,118,19,27,46,0,130,0.39,10,30,9,15,0,1,3,4,175,10.9,,33.3
Robert Lang,R,C,91,18,28,46,-1,24,0.51,14,31,4,15,0,0,0,1,134,13.4,,45.4
Ryane Clowe,L,L,70,18,28,46,-4,97,0.66,13,34,5,12,0,0,0,1,157,11.5,,33.9
Rick Nash,L,L,89,18,28,46,0,32,0.52,12,33,5,11,1,2,0,4,300,6.0,,100.0
Phil Goyette,L,C,94,17,29,46,6,26,0.49,14,33,3,13,0,0,0,2,102,,,
Michal Handzus,L,C,116,16,30,46,-6,52,0.4,12,36,3,8,1,2,1,2,140,11.4,,48.2
Jim Peplinski,R,L,99,15,31,46,10,382,0.46,14,43,1,3,0,0,0,0,148,10.1,,
Bill Cowley,L,C,64,12,34,46,0,22,0.72,9,41,3,5,0,0,0,0,,,,
Bob Dailey,R,D,63,12,34,46,17,105,0.73,7,26,4,16,1,4,0,2,166,7.2,,
Pelle Eklund,L,C,66,10,36,46,10,8,0.7,5,24,5,22,0,0,0,1,101,9.9,,
Paul Martin,L,D,122,6,40,46,3,44,0.38,3,29,3,14,0,3,0,0,136,4.4,,
Marcel Dionne,R,C,49,21,24,45,-23,17,0.92,10,23,11,22,0,0,0,1,187,11.2,,
Michael Ryder,R,R,75,21,24,45,0,26,0.6,16,32,5,13,0,0,2,4,169,12.4,,47.4
Frank St. Marseille,R,R,88,20,25,45,-10,16,0.51,10,26,10,19,0,0,0,2,163,12.3,,
Max Bentley,L,C,51,18,27,45,0,14,0.88,17,36,1,9,0,0,0,4,,,,
Jakob Silfverberg,R,R,69,18,27,45,0,38,0.65,14,36,4,9,0,0,1,4,168,10.7,,35.3
Pierre Mondou,R,C,68,17,28,45,25,26,0.66,11,36,5,8,1,1,0,2,107,15.9,,
Mathew Barzal,R,C,60,17,28,45,2,43,0.75,13,32,4,13,0,0,2,4,151,11.3,,45.1
Marcus Johansson,L,L,109,16,29,45,-19,6,0.41,11,35,5,10,0,0,1,5,179,8.9,,39.1
Ian Turnbull,L,D,55,13,32,45,-9,94,0.82,7,24,6,20,0,1,0,0,185,7.0,,
Roman Josi,L,D,91,12,33,45,-27,48,0.49,8,32,4,13,0,0,0,1,292,4.1,,
Blake Wheeler,R,R,66,10,35,45,-13,31,0.68,7,31,3,14,0,0,0,1,134,7.5,,52.9
Al MacAdam,L,R,64,20,24,44,2,21,0.69,17,35,2,8,1,1,1,3,119,16.8,,
Pascal Dupuis,L,R,97,19,25,44,7,56,0.45,15,40,2,2,2,2,1,2,195,9.7,,41.9
Nazem Kadri,L,C,52,19,25,44,15,84,0.85,11,33,8,11,0,0,1,7,160,11.9,,49.6
Sergio Momesso,L,L,119,18,26,44,4,311,0.37,17,40,1,4,0,0,2,3,169,10.7,,
Syd Howe,L,C,70,17,27,44,0,10,0.63,11,30,6,14,0,0,1,6,,,,
Dirk Graham,R,R,90,17,27,44,10,94,0.49,14,35,1,5,2,4,0,4,185,9.2,,
Daymond Langkow,L,C,75,15,29,44,8,43,0.59,7,29,7,13,1,2,0,3,154,9.7,,44.7
Thomas Steen,L,C,56,12,32,44,-32,62,0.79,3,26,7,13,2,5,0,1,100,12.0,,
Jyrki Lumme,L,D,105,9,35,44,8,52,0.42,2,18,6,23,1,3,0,2,174,5.2,,
Brian Campbell,L,D,107,9,35,44,4,40,0.41,4,23,5,21,0,0,0,1,160,5.6,,100.0
Ryan Suter,L,D,133,7,37,44,-28,80,0.33,4,28,3,14,0,2,0,0,204,3.4,,
Matt Carle,L,D,127,6,38,44,-13,36,0.35,4,38,2,5,0,1,0,1,151,4.0,,100.0
Rick Vaive,R,R,54,27,16,43,-14,111,0.8,11,20,16,23,0,0,0,1,158,17.1,,
Wayne Presley,R,R,83,26,17,43,8,142,0.52,17,27,3,10,6,6,0,5,162,16.1,,
Evander Kane,L,L,76,26,17,43,-17,204,0.57,21,35,5,8,0,0,0,3,231,11.3,,35.3
Tomas Hertl,L,C,69,25,18,43,3,22,0.62,15,27,9,15,1,1,1,5,191,13.1,,57.3
Darryl Sutter,L,C,51,24,19,43,7,26,0.84,18,35,6,8,0,0,2,5,111,21.6,,
